ts_code,trade_date,open,high,low,close,volume,turnover,factor,prev_close,avg_price,high_limit,low_limit,turnover_rate,amp_rate,quote_rate,is_paused,is_st
002281.SZ,20250701,48.83,49.52,48.2,48.55,25990870,1263991993,3.3736,49.32,48.6322,54.25,44.39,3.3615,2.6764,-1.5612,0,0
002281.SZ,20250702,48.02,48.15,46.7,46.97,25960745,1223793342,3.3736,48.55,47.1401,53.41,43.7,3.3298,2.9866,-3.2544,0,0
002281.SZ,20250703,47.2,48.45,47.1,47.96,26031848,1242995263,3.3736,46.97,47.749,51.67,42.27,3.339,2.8742,2.1077,0,0
002281.SZ,20250704,47.92,48.43,47.1,47.27,21343549,1014444117,3.3736,47.96,47.5293,52.76,43.16,2.7376,2.7731,-1.4387,0,0
002281.SZ,20250707,47.06,47.23,45.6,46.14,22361983,1032148430,3.3736,47.27,46.1564,52,42.54,2.8683,3.4483,-2.3905,0,0
002281.SZ,20250708,46.7,47.45,44,47.23,42307472,1964115978,3.3736,46.14,46.4248,50.75,41.53,5.4266,7.4772,2.3624,0,0
002281.SZ,20250709,47.18,48.17,46.83,47.12,32950244,1561315432,3.3736,47.23,47.384,51.95,42.51,4.2264,2.8372,-0.2329,0,0
002281.SZ,20250710,47.28,47.58,46.01,46.39,23605528,1100456629,3.3736,47.12,46.6186,51.83,42.41,3.0278,3.3319,-1.5492,0,0
002281.SZ,20250711,46.25,46.87,45.93,46.38,18298033,850112079.5,3.3736,46.39,46.4592,51.03,41.75,2.347,2.0263,-0.0216,0,0
002281.SZ,20250714,46.36,47.01,46.35,46.69,15943128,744545861.8,3.3736,46.38,46.7001,51.02,41.74,2.0449,1.423,0.6684,0,0
002281.SZ,20250715,47,49.7,46.99,48.75,61289921,2982041613,3.3736,46.69,48.6547,51.36,42.02,7.8613,5.8042,4.4121,0,0
002281.SZ,20250716,48.77,49.07,47.39,47.47,44646122,2152057570,3.3736,48.75,48.2026,53.63,43.88,5.7265,3.4462,-2.6256,0,0
002281.SZ,20250717,47.06,50.5,47.03,49.31,60851566,2997311316,3.3736,47.47,49.2561,52.22,42.72,7.8051,7.3099,3.8761,0,0
002281.SZ,20250718,49.35,50.02,48.68,48.75,46560791,2295833021,3.3736,49.31,49.3083,54.24,44.38,5.9721,2.7175,-1.1357,0,0
002281.SZ,20250721,48.56,48.75,47.7,48.29,33144276,1593679734,3.3736,48.75,48.0831,53.63,43.88,4.2512,2.1538,-0.9436,0,0
002281.SZ,20250722,48.13,49.63,48.01,48.08,36660751,1783244555,3.3736,48.29,48.6418,53.12,43.46,4.7023,3.3547,-0.4349,0,0
002281.SZ,20250723,47.67,47.67,46.75,47.23,28791131,1357980935,3.3736,48.08,47.1666,52.89,43.27,3.6929,1.9135,-1.7679,0,0
002281.SZ,20250724,47.59,47.6,47.06,47.38,20455283,966527646.8,3.3736,47.23,47.2508,51.95,42.51,2.6237,1.1433,0.3176,0,0
002281.SZ,20250725,47.39,47.8,47.13,47.8,21322271,1012600581,3.3736,47.38,47.4903,52.12,42.64,2.7349,1.4141,0.8864,0,0
