ts_code,symbol,name,area,industry,fullname,enname,cnspell,market,exchange,curr_type,list_status,list_date,delist_date,is_hs
600000.SH,600000,浦发银行,,,浦发银行,,,,SSE,CNY,1,,,
600004.SH,600004,白云机场,,,白云机场,,,,SSE,CNY,1,,,
600006.SH,600006,东风股份,,,东风股份,,,,SSE,CNY,1,,,
600007.SH,600007,中国国贸,,,中国国贸,,,,SSE,CNY,1,,,
600008.SH,600008,首创环保,,,首创环保,,,,SSE,CNY,1,,,
600009.SH,600009,上海机场,,,上海机场,,,,SSE,CNY,1,,,
600010.SH,600010,包钢股份,,,包钢股份,,,,SSE,CNY,1,,,
600011.SH,600011,华能国际,,,华能国际,,,,SSE,CNY,1,,,
600012.SH,600012,皖通高速,,,皖通高速,,,,SSE,CNY,1,,,
600015.SH,600015,华夏银行,,,华夏银行,,,,SSE,CNY,1,,,
600016.SH,600016,民生银行,,,民生银行,,,,SSE,CNY,1,,,
600017.SH,600017,日照港,,,日照港,,,,SSE,CNY,1,,,
600018.SH,600018,上港集团,,,上港集团,,,,SSE,CNY,1,,,
600019.SH,600019,宝钢股份,,,宝钢股份,,,,SSE,CNY,1,,,
600020.SH,600020,中原高速,,,中原高速,,,,SSE,CNY,1,,,
600021.SH,600021,上海电力,,,上海电力,,,,SSE,CNY,1,,,
600022.SH,600022,山东钢铁,,,山东钢铁,,,,SSE,CNY,1,,,
600023.SH,600023,浙能电力,,,浙能电力,,,,SSE,CNY,1,,,
600025.SH,600025,XD华能水,,,XD华能水,,,,SSE,CNY,1,,,
600026.SH,600026,中远海能,,,中远海能,,,,SSE,CNY,1,,,
600027.SH,600027,华电国际,,,华电国际,,,,SSE,CNY,1,,,
600028.SH,600028,中国石化,,,中国石化,,,,SSE,CNY,1,,,
600029.SH,600029,南方航空,,,南方航空,,,,SSE,CNY,1,,,
600030.SH,600030,中信证券,,,中信证券,,,,SSE,CNY,1,,,
600031.SH,600031,三一重工,,,三一重工,,,,SSE,CNY,1,,,
600032.SH,600032,浙江新能,,,浙江新能,,,,SSE,CNY,1,,,
600033.SH,600033,福建高速,,,福建高速,,,,SSE,CNY,1,,,
600035.SH,600035,楚天高速,,,楚天高速,,,,SSE,CNY,1,,,
600036.SH,600036,招商银行,,,招商银行,,,,SSE,CNY,1,,,
600037.SH,600037,歌华有线,,,歌华有线,,,,SSE,CNY,1,,,
600038.SH,600038,中直股份,,,中直股份,,,,SSE,CNY,1,,,
600039.SH,600039,四川路桥,,,四川路桥,,,,SSE,CNY,1,,,
600048.SH,600048,保利发展,,,保利发展,,,,SSE,CNY,1,,,
600050.SH,600050,中国联通,,,中国联通,,,,SSE,CNY,1,,,
600051.SH,600051,宁波联合,,,宁波联合,,,,SSE,CNY,1,,,
600052.SH,600052,东望时代,,,东望时代,,,,SSE,CNY,1,,,
600053.SH,600053,*ST九鼎,,,*ST九鼎,,,,SSE,CNY,1,,,
600054.SH,600054,黄山旅游,,,黄山旅游,,,,SSE,CNY,1,,,
600055.SH,600055,万东医疗,,,万东医疗,,,,SSE,CNY,1,,,
600056.SH,600056,中国医药,,,中国医药,,,,SSE,CNY,1,,,
600057.SH,600057,厦门象屿,,,厦门象屿,,,,SSE,CNY,1,,,
600058.SH,600058,五矿发展,,,五矿发展,,,,SSE,CNY,1,,,
600059.SH,600059,古越龙山,,,古越龙山,,,,SSE,CNY,1,,,
600060.SH,600060,海信视像,,,海信视像,,,,SSE,CNY,1,,,
600061.SH,600061,国投资本,,,国投资本,,,,SSE,CNY,1,,,
600062.SH,600062,华润双鹤,,,华润双鹤,,,,SSE,CNY,1,,,
600063.SH,600063,皖维高新,,,皖维高新,,,,SSE,CNY,1,,,
600064.SH,600064,南京高科,,,南京高科,,,,SSE,CNY,1,,,
600066.SH,600066,宇通客车,,,宇通客车,,,,SSE,CNY,1,,,
600067.SH,600067,冠城新材,,,冠城新材,,,,SSE,CNY,1,,,
600071.SH,600071,凤凰光学,,,凤凰光学,,,,SSE,CNY,1,,,
600072.SH,600072,中船科技,,,中船科技,,,,SSE,CNY,1,,,
600073.SH,600073,光明肉业,,,光明肉业,,,,SSE,CNY,1,,,
600075.SH,600075,新疆天业,,,新疆天业,,,,SSE,CNY,1,,,
600076.SH,600076,康欣新材,,,康欣新材,,,,SSE,CNY,1,,,
600078.SH,600078,澄星股份,,,澄星股份,,,,SSE,CNY,1,,,
