date,p_open,p_high,p_low,volume,b_id,b_name,id,platform,quote_rate,p_close,p_prev_close,turnover,trade_date
2018-05-17,998.889,1001.36,995.539,26430800000.0,883957,同花顺全A,3443,1,-0.1751,998.249,1000.0,356912000000.0,20180517
2018-05-18,996.975,1003.8,992.84,29072700000.0,883957,同花顺全A,3444,1,0.5324,1003.56,998.249,375972000000.0,20180518
2018-05-21,1008.55,1018.83,1008.55,35502800000.0,883957,同花顺全A,3445,1,1.438,1017.99,1003.56,460956000000.0,20180521
2018-05-22,1017.34,1024.42,1015.71,32359200000.0,883957,同花顺全A,3446,1,0.6303,1024.41,1017.99,438045000000.0,20180522
2018-05-23,1021.61,1022.98,1013.11,34386400000.0,883957,同花顺全A,3447,1,-1.103,1013.11,1024.41,460487000000.0,20180523
2018-05-24,1011.9,1015.86,1010.52,28211900000.0,883957,同花顺全A,3448,1,-0.147,1011.62,1013.11,381971000000.0,20180524
2018-05-25,1010.69,1012.21,1002.36,30074400000.0,883957,同花顺全A,3449,1,-0.7988,1003.54,1011.62,398286000000.0,20180525
2018-05-28,1002.09,1002.89,990.308,29789400000.0,883957,同花顺全A,3450,1,-0.9405,994.104,1003.54,397773000000.0,20180528
2018-05-29,991.348,998.105,985.27,30372900000.0,883957,同花顺全A,3451,1,-0.8767,985.389,994.104,407386000000.0,20180529
2018-05-30,969.774,969.774,943.538,35195400000.0,883957,同花顺全A,3452,1,-4.0732,945.252,985.389,437750000000.0,20180530
2018-05-31,951.914,962.689,947.434,31306400000.0,883957,同花顺全A,3453,1,1.8435,962.678,945.252,406951000000.0,20180531
2018-06-01,958.459,966.007,946.508,29213100000.0,883957,同花顺全A,3454,1,-1.003,953.022,962.678,375217000000.0,20180601
2018-06-04,954.28,956.619,946.639,25994500000.0,883957,同花顺全A,3455,1,-0.2583,950.56,953.022,345451000000.0,20180604
2018-06-05,950.27,966.986,950.27,27118900000.0,883957,同花顺全A,3456,1,1.728,966.986,950.56,370513000000.0,20180605
2018-06-06,966.174,970.233,965.039,26536200000.0,883957,同花顺全A,3457,1,0.305,969.935,966.986,359743000000.0,20180606
2018-06-07,971.761,972.867,961.027,27503700000.0,883957,同花顺全A,3458,1,-0.8826,961.374,969.935,359895000000.0,20180607
2018-06-08,959.023,959.023,943.042,28607100000.0,883957,同花顺全A,3459,1,-1.1195,950.611,961.374,353844000000.0,20180608
2018-06-11,947.369,950.411,940.333,23944600000.0,883957,同花顺全A,3460,1,-0.7248,943.721,950.611,320646000000.0,20180611
2018-06-12,943.472,950.766,931.836,25543900000.0,883957,同花顺全A,3461,1,0.746,950.761,943.721,350825000000.0,20180612
2018-06-13,947.76,947.76,932.452,26211100000.0,883957,同花顺全A,3462,1,-1.8984,932.712,950.761,342678000000.0,20180613
2018-06-14,928.323,938.985,926.56,24579400000.0,883957,同花顺全A,3463,1,-0.3873,929.1,932.712,317154000000.0,20180614
2018-06-15,928.155,930.841,901.056,30384400000.0,883957,同花顺全A,3464,1,-2.5255,905.636,929.1,355746000000.0,20180615
2018-06-19,888.608,888.608,829.133,44375000000.0,883957,同花顺全A,3465,1,-7.4893,837.81,905.636,473116000000.0,20180619
2018-06-20,829.952,851.925,826.164,31382600000.0,883957,同花顺全A,3466,1,1.1429,847.385,837.81,347948000000.0,20180620
2018-06-21,845.308,852.091,822.943,32680800000.0,883957,同花顺全A,3467,1,-2.8499,823.235,847.385,356036000000.0,20180621
2018-06-22,815.794,837.144,810.895,27800400000.0,883957,同花顺全A,3468,1,1.6036,836.436,823.235,299013000000.0,20180622
2018-06-25,842.972,845.641,833.609,26980100000.0,883957,同花顺全A,3469,1,-0.2563,834.292,836.436,307058000000.0,20180625
2018-06-26,821.917,844.084,818.587,28820200000.0,883957,同花顺全A,3470,1,1.1526,843.908,834.292,325034000000.0,20180626
2018-06-27,843.991,849.981,836.169,28668500000.0,883957,同花顺全A,3471,1,-0.5102,839.602,843.908,325639000000.0,20180627
2018-06-28,837.564,846.235,829.846,26947900000.0,883957,同花顺全A,3472,1,-1.1078,830.301,839.602,304859000000.0,20180628
2018-06-29,830.489,856.021,829.939,30441100000.0,883957,同花顺全A,3473,1,3.0972,856.017,830.301,341886000000.0,20180629
2018-07-02,855.303,858.824,837.672,31728900000.0,883957,同花顺全A,3474,1,-1.3539,844.427,856.017,357289000000.0,20180702
2018-07-03,844.281,857.796,834.311,33240000000.0,883957,同花顺全A,3475,1,1.5832,857.796,844.427,392638000000.0,20180703
2018-07-04,853.744,853.959,836.702,29362500000.0,883957,同花顺全A,3476,1,-1.9768,840.839,857.796,329279000000.0,20180704
2018-07-05,837.795,842.06,817.382,29185100000.0,883957,同花顺全A,3477,1,-2.7897,817.382,840.839,315027000000.0,20180705
2018-07-06,817.164,830.687,800.81,32163100000.0,883957,同花顺全A,3478,1,0.472,821.24,817.382,355801000000.0,20180706
