ts_code,trade_date,open,high,low,close,volume,turnover,factor,prev_close,avg_price,high_limit,low_limit,turnover_rate,amp_rate,quote_rate,is_paused,is_st
600703.SH,20140102,24.83,27.27,24.61,26.69,20287985.0,532952250.0,6.8884,24.79,26.2694,27.27,22.31,1.5034,10.7301,7.6644,0,0
600703.SH,20140103,26.7,28.72,26.7,27.94,28833413.0,804968956.0,6.8884,26.69,27.9179,29.36,24.02,2.1366,7.5684,4.6834,0,0
600703.SH,20140106,27.65,29.3,26.95,27.16,26209025.0,729563319.0,6.8884,27.94,27.8363,30.73,25.15,1.9421,8.4109,-2.7917,0,0
600703.SH,20140107,27.12,27.79,27.07,27.36,13151619.0,359519854.0,6.8884,27.16,27.3365,29.88,24.44,0.9745,2.651,0.7364,0,0
600703.SH,20140108,27.6,28.4,27.5,28.15,12731346.0,356089459.0,6.8884,27.36,27.9695,30.1,24.62,0.9434,3.2895,2.8874,0,0
600703.SH,20140109,28.05,28.53,26.7,26.76,13588281.0,372713351.0,6.8884,28.15,27.429,30.97,25.34,1.0069,6.5009,-4.9378,0,0
600703.SH,20140110,26.75,27.26,25.61,25.81,13150324.0,346408559.0,6.8884,26.76,26.3422,29.44,24.08,0.9745,6.1659,-3.5501,0,0
600703.SH,20140113,25.84,27.28,25.84,26.65,17609345.0,467015202.0,6.8884,25.81,26.5209,28.39,23.23,1.3049,5.5792,3.2546,0,0
600703.SH,20140114,26.65,27.5,26.2,27.46,14315631.0,385081547.0,6.8884,26.65,26.8994,29.32,23.99,1.0608,4.878,3.0394,0,0
600703.SH,20140115,27.24,28.88,27.13,28.12,19396148.0,546957133.0,6.8884,27.46,28.1993,30.21,24.71,1.4373,6.3729,2.4035,0,0
600703.SH,20140116,28.11,28.39,26.3,26.65,21824018.0,590908254.0,6.8884,28.12,27.0761,30.93,25.31,1.6172,7.4324,-5.2276,0,0
600703.SH,20140117,26.31,26.48,25.41,25.59,20286717.0,524921952.0,6.8884,26.65,25.8752,29.32,23.99,1.5033,4.015,-3.9775,0,0
600703.SH,20140120,25.39,26.3,24.71,24.95,17972291.0,456530697.0,6.8884,25.59,25.4019,28.15,23.03,1.3318,6.2134,-2.501,0,0
600703.SH,20140121,25.0,26.03,24.82,25.95,12726513.0,326085762.0,6.8884,24.95,25.6226,27.45,22.46,0.943,4.8497,4.008,0,0
600703.SH,20140122,25.9,26.68,25.52,26.3,17999364.0,470830071.0,6.8884,25.95,26.1582,28.55,23.36,1.3338,4.4701,1.3487,0,0
600703.SH,20140123,26.3,26.75,26.1,26.37,11788851.0,311607148.0,6.8884,26.3,26.4324,28.93,23.67,0.8736,2.4715,0.2662,0,0
600703.SH,20140124,26.3,27.17,26.2,26.52,11049637.0,294721209.0,6.8884,26.37,26.6725,29.01,23.73,0.8188,3.6784,0.5688,0,0
