ts_code,trade_date,open,high,low,close,volume,turnover,factor,prev_close,avg_price,high_limit,low_limit,turnover_rate,amp_rate,quote_rate,is_paused,is_st
688559.SH,20200909,31.0,36.2,30.88,31.96,33102358.0,1093070699.0,1.0,14.56,33.0209,0.0,0.0,72.7467,36.5385,119.506,0,0
688559.SH,20200910,28.21,29.5,23.36,24.0,23380720.0,605031828.0,1.0,31.96,25.8774,0.0,0.0,51.3822,19.2115,-24.9061,0,0
688559.SH,20200911,23.43,26.55,22.9,25.69,16870930.0,415806472.0,1.0,24.0,24.6463,0.0,0.0,37.0761,15.2083,7.0417,0,0
688559.SH,20200914,26.55,26.99,24.55,25.01,13309410.0,337112286.0,1.0,25.69,25.3289,0.0,0.0,29.2492,9.4979,-2.6469,0,0
688559.SH,20200915,25.18,25.36,23.9,24.8,10967534.0,267837672.0,1.0,25.01,24.421,0.0,0.0,24.1026,5.8377,-0.8397,0,0
688559.SH,20200916,24.38,25.9,24.1,25.6,12837154.0,321818539.0,1.0,24.8,25.0693,29.76,19.84,28.2113,7.2581,3.2258,0,0
688559.SH,20200917,25.61,30.72,25.4,28.73,23297129.0,656693990.0,1.0,25.6,28.1878,30.72,20.48,51.1985,20.7813,12.2266,0,0
688559.SH,20200918,27.8,28.1,26.19,27.28,16289863.0,440346408.0,1.0,28.73,27.0319,34.48,22.98,35.7991,6.6481,-5.047,0,0
688559.SH,20200921,27.58,29.89,26.88,28.18,17227498.0,488362843.0,1.0,27.28,28.3479,32.74,21.82,37.8597,11.0337,3.2991,0,0
688559.SH,20200922,28.0,29.5,27.77,28.35,11964895.0,343073379.0,1.0,28.18,28.6733,33.82,22.54,26.2944,6.1391,0.6033,0,0
688559.SH,20200923,27.71,29.2,26.41,28.67,15992066.0,440121081.0,1.0,28.35,27.5212,34.02,22.68,35.1446,9.8413,1.1287,0,0
688559.SH,20200924,28.12,28.85,27.1,27.85,11989891.0,334656533.0,1.0,28.67,27.9116,34.4,22.94,26.3493,6.1039,-2.8601,0,0
688559.SH,20200925,28.0,28.12,25.8,25.8,8568698.0,229461881.0,1.0,27.85,26.7791,33.42,22.28,18.8308,8.3303,-7.3609,0,0
688559.SH,20200928,25.91,25.99,23.88,24.26,6616618.0,164030437.0,1.0,25.8,24.7907,30.96,20.64,14.5409,8.1783,-5.969,0,0
688559.SH,20200929,24.59,24.84,24.21,24.43,4604725.0,113211139.0,1.0,24.26,24.5859,29.11,19.41,10.1195,2.5969,0.7007,0,0
688559.SH,20200930,24.49,25.08,23.82,24.09,5019569.0,122820745.0,1.0,24.43,24.4684,29.32,19.54,11.0312,5.1576,-1.3917,0,0
688559.SH,20201009,24.74,25.35,24.2,25.03,4387702.0,109370647.0,1.0,24.09,24.9266,28.91,19.27,9.6425,4.7738,3.902,0,0
688559.SH,20201012,25.69,26.09,25.21,25.53,5976918.0,153383760.0,1.0,25.03,25.6627,30.04,20.02,13.1351,3.5158,1.9976,0,0
688559.SH,20201013,25.59,26.59,25.35,25.65,6000457.0,155567415.0,1.0,25.53,25.9259,30.64,20.42,13.1868,4.857,0.47,0,0
688559.SH,20201014,25.53,26.17,25.15,25.96,4849314.0,124884252.0,1.0,25.65,25.753,30.78,20.52,10.657,3.9766,1.2086,0,0
688559.SH,20201015,25.93,26.26,24.5,24.71,5023814.0,127252209.0,1.0,25.96,25.3298,31.15,20.77,11.0405,6.7797,-4.8151,0,0
688559.SH,20201016,24.62,24.85,23.78,24.17,4548280.0,109998804.0,1.0,24.71,24.1847,29.65,19.77,9.9954,4.3302,-2.1854,0,0
688559.SH,20201019,24.3,24.45,23.68,23.81,3154642.0,75579987.0,1.0,24.17,23.9583,29.0,19.34,6.9327,3.1858,-1.4894,0,0
688559.SH,20201020,23.71,24.38,23.52,24.31,3126705.0,75268408.0,1.0,23.81,24.0728,28.57,19.05,6.8713,3.6119,2.1,0,0
688559.SH,20201021,24.39,24.75,24.1,24.35,3884885.0,95124410.0,1.0,24.31,24.4858,29.17,19.45,8.5375,2.6738,0.1645,0,0
688559.SH,20201022,24.59,24.62,23.71,24.01,2575462.0,62029978.0,1.0,24.35,24.085,29.22,19.48,5.6599,3.7372,-1.3963,0,0
688559.SH,20201023,24.02,24.25,22.91,23.23,4043448.0,94864891.0,1.0,24.01,23.4614,28.81,19.21,8.886,5.581,-3.2486,0,0
688559.SH,20201026,23.25,23.38,22.73,22.96,1955197.0,45108114.0,1.0,23.23,23.0709,27.88,18.58,4.2968,2.7981,-1.1623,0,0
688559.SH,20201027,23.04,23.42,22.81,23.23,1738683.0,40339771.0,1.0,22.96,23.2013,27.55,18.37,3.821,2.6568,1.176,0,0
688559.SH,20201028,23.35,23.35,22.42,23.09,2854756.0,65211583.0,1.0,23.23,22.8431,27.88,18.58,6.2737,4.0034,-0.6027,0,0
688559.SH,20201029,22.7,22.99,22.12,22.26,3594942.0,81066981.0,1.0,23.09,22.5503,27.71,18.47,7.9004,3.7679,-3.5946,0,0
688559.SH,20201030,22.25,24.05,21.96,22.99,7205585.0,165767775.0,1.0,22.26,23.0055,26.71,17.81,15.8352,9.389,3.2794,0,0
688559.SH,20201102,22.64,24.11,21.98,23.8,6226978.0,144347533.0,1.0,22.99,23.181,27.59,18.39,13.6846,9.2649,3.5233,0,0
688559.SH,20201103,23.89,24.62,23.71,24.37,5739404.0,139009321.0,1.0,23.8,24.2202,28.56,19.04,12.6131,3.8235,2.395,0,0
688559.SH,20201104,24.36,26.12,24.36,25.32,9403504.0,237997923.0,1.0,24.37,25.3095,29.24,19.5,20.6654,7.222,3.8982,0,0
688559.SH,20201105,25.89,25.98,24.78,25.5,6467262.0,163639064.0,1.0,25.32,25.3027,30.38,20.26,14.2126,4.7393,0.7109,0,0
688559.SH,20201106,25.52,25.98,25.03,25.84,4899563.0,124940017.0,1.0,25.5,25.5002,30.6,20.4,10.7674,3.7255,1.3333,0,0
688559.SH,20201109,25.89,26.58,25.52,26.16,5733778.0,149227449.0,1.0,25.84,26.026,31.01,20.67,12.6007,4.1022,1.2384,0,0
688559.SH,20201110,26.4,26.47,25.6,25.69,4107634.0,106752762.0,1.0,26.16,25.9889,31.39,20.93,9.0271,3.3257,-1.7966,0,0
688559.SH,20201111,25.94,26.07,25.11,25.73,3588441.0,92318861.0,1.0,25.69,25.7267,30.83,20.55,7.8861,3.7369,0.1557,0,0
688559.SH,20201112,25.7,25.72,24.69,25.09,2693194.0,67506960.0,1.0,25.73,25.0658,30.88,20.58,5.9186,4.0031,-2.4874,0,0
688559.SH,20201113,24.96,25.48,24.66,25.25,1892048.0,47384949.0,1.0,25.09,25.0443,30.11,20.07,4.158,3.2682,0.6377,0,0
688559.SH,20201116,25.45,25.49,24.89,25.26,1962372.0,49392320.0,1.0,25.25,25.1697,30.3,20.2,4.3126,2.3762,0.0396,0,0
688559.SH,20201117,25.3,26.36,24.91,25.17,3757000.0,96144193.0,1.0,25.26,25.5907,30.31,20.21,8.2565,5.7403,-0.3563,0,0
688559.SH,20201118,24.99,25.54,24.71,25.4,2733705.0,68918276.0,1.0,25.17,25.2106,30.2,20.14,6.0077,3.2976,0.9138,0,0
688559.SH,20201119,25.26,26.02,25.25,25.43,2405175.0,61677828.0,1.0,25.4,25.6438,30.48,20.32,5.2857,3.0315,0.1181,0,0
688559.SH,20201120,25.19,25.81,25.0,25.46,1786401.0,45137732.0,1.0,25.43,25.2674,30.52,20.34,3.9258,3.1852,0.118,0,0
688559.SH,20201123,25.6,26.44,25.3,25.49,2997516.0,77131142.0,1.0,25.46,25.7317,30.55,20.37,6.5874,4.4776,0.1178,0,0
688559.SH,20201124,25.2,25.56,24.82,25.3,2748089.0,69073754.0,1.0,25.49,25.1352,30.59,20.39,6.0393,2.9031,-0.7454,0,0
688559.SH,20201125,25.43,25.46,23.83,23.95,3596905.0,87844328.0,1.0,25.3,24.4222,30.36,20.24,7.9047,6.4427,-5.336,0,0
