ts_code,trade_date,open,high,low,close,volume,turnover,factor,prev_close,avg_price,high_limit,low_limit,turnover_rate,amp_rate,quote_rate,is_paused,is_st
300285.SZ,20140102,31.11,32.25,31.11,31.88,1632124.0,51886795.48,2.014,31.72,31.791,34.89,28.55,5.2312,3.5939,0.5044,0,0
300285.SZ,20140103,31.76,32.2,31.34,31.96,1523856.0,48534698.15,2.014,31.88,31.8499,35.07,28.69,4.8842,2.6976,0.2509,0,0
300285.SZ,20140106,31.2,31.95,30.4,30.75,1565023.0,48820185.7,2.014,31.96,31.1945,35.16,28.76,4.8507,4.8498,-3.786,0,0
300285.SZ,20140107,30.4,31.33,30.26,30.96,936381.0,28955282.76,2.014,30.75,30.9225,33.83,27.68,2.9022,3.4797,0.6829,0,0
300285.SZ,20140108,30.96,31.96,30.96,31.69,1685238.0,53198339.31,2.014,30.96,31.5673,34.06,27.86,5.2233,3.23,2.3579,0,0
300285.SZ,20140109,31.69,32.64,30.61,30.61,2022781.0,64600697.21,2.014,31.69,31.9366,34.86,28.52,6.2695,6.4058,-3.408,0,0
300285.SZ,20140110,30.52,30.52,29.2,29.4,1661571.0,49292882.29,2.014,30.61,29.6664,33.67,27.55,5.1499,4.3123,-3.953,0,0
300285.SZ,20140113,29.39,29.78,29.1,29.55,725621.0,21346399.88,2.014,29.4,29.4181,32.34,26.46,2.249,2.3129,0.5102,0,0
300285.SZ,20140114,30.06,30.67,29.88,30.6,1030316.0,31253484.3,2.014,29.55,30.3339,32.51,26.6,3.1934,2.6734,3.5533,0,0
300285.SZ,20140115,30.5,31.43,30.38,31.02,950234.0,29483558.42,2.014,30.6,31.0277,33.66,27.54,2.9452,3.4314,1.3725,0,0
300285.SZ,20140116,30.68,32.63,29.8,31.95,2361866.0,74298588.13,2.014,31.02,31.4576,34.12,27.92,7.3204,9.1231,2.9981,0,0
300285.SZ,20140117,31.99,32.39,31.05,31.2,1460257.0,46323483.59,2.014,31.95,31.7228,35.15,28.76,4.526,4.1941,-2.3474,0,0
300285.SZ,20140120,31.53,32.48,31.45,31.9,1947898.0,62420179.97,2.014,31.2,32.0449,34.32,28.08,6.0374,3.3013,2.2436,0,0
300285.SZ,20140121,31.9,32.5,31.58,32.5,1457530.0,46695404.53,2.014,31.9,32.0374,35.09,28.71,4.5175,2.884,1.8809,0,0
300285.SZ,20140122,32.38,32.98,31.8,32.68,1768861.0,57303966.15,2.014,32.5,32.396,35.75,29.25,5.4825,3.6308,0.5538,0,0
