ts_code,trade_date,open,high,low,close,volume,turnover,factor,prev_close,avg_price,high_limit,low_limit,turnover_rate,amp_rate,quote_rate,is_paused,is_st
600362.SH,20140102,14.12,14.24,13.96,14.21,8768031.0,123631268.0,1.1962,14.18,14.1002,15.6,12.76,0.4225,1.9746,0.2116,0,0
600362.SH,20140103,14.12,14.46,14.01,14.36,13074511.0,187045091.0,1.1962,14.21,14.3061,15.63,12.79,0.63,3.1668,1.0556,0,0
600362.SH,20140106,14.26,14.28,13.7,13.87,8949216.0,125340355.0,1.1962,14.36,14.0057,15.8,12.92,0.4312,4.039,-3.4123,0,0
600362.SH,20140107,13.8,14.12,13.8,13.91,4501430.0,62781685.0,1.1962,13.87,13.9471,15.26,12.48,0.2169,2.3071,0.2884,0,0
600362.SH,20140108,14.03,14.18,13.88,13.9,5149966.0,72124121.0,1.1962,13.91,14.0048,15.3,12.52,0.2482,2.1567,-0.0719,0,0
600362.SH,20140109,13.87,13.99,13.55,13.56,5685138.0,78267117.0,1.1962,13.9,13.767,15.29,12.51,0.2739,3.1655,-2.446,0,0
600362.SH,20140110,13.5,13.77,13.42,13.52,6205313.0,84161780.0,1.1962,13.56,13.5629,14.92,12.2,0.299,2.5811,-0.295,0,0
600362.SH,20140113,13.6,13.96,13.53,13.73,9808796.0,134910995.0,1.1962,13.52,13.7541,14.87,12.17,0.4727,3.1805,1.5533,0,0
600362.SH,20140114,13.76,13.79,13.47,13.7,4914116.0,66903528.0,1.1962,13.73,13.6146,15.1,12.36,0.2368,2.3307,-0.2185,0,0
600362.SH,20140115,13.69,13.7,13.4,13.44,6979770.0,94324280.0,1.1962,13.7,13.514,15.07,12.33,0.3363,2.1898,-1.8978,0,0
600362.SH,20140116,13.47,13.74,13.4,13.55,9661478.0,130999932.0,1.1962,13.44,13.559,14.78,12.1,0.4656,2.5298,0.8185,0,0
600362.SH,20140117,13.46,13.5,13.19,13.21,7129410.0,94768545.0,1.1962,13.55,13.2926,14.91,12.2,0.3435,2.2878,-2.5092,0,0
