ts_code,trade_date,open,high,low,close,volume,turnover,factor,prev_close,avg_price,high_limit,low_limit,turnover_rate,amp_rate,quote_rate,is_paused,is_st
605580.SH,20210819,10.06,12.07,10.06,12.07,416533.0,5013379.0,1.0,8.38,12.036,12.07,5.36,0.8331,23.9857,44.0334,0,0
605580.SH,20210820,13.28,13.28,13.28,13.28,204296.0,2713051.0,1.0,12.07,13.28,13.28,10.86,0.4086,0.0,10.0249,0,0
605580.SH,20210823,14.61,14.61,14.61,14.61,110313.0,1611673.0,1.0,13.28,14.61,14.61,11.95,0.2206,0.0,10.0151,0,0
605580.SH,20210824,16.07,16.07,16.07,16.07,201322.0,3235245.0,1.0,14.61,16.07,16.07,13.15,0.4026,0.0,9.9932,0,0
605580.SH,20210825,17.68,17.68,17.68,17.68,255916.0,4524595.0,1.0,16.07,17.68,17.68,14.46,0.5118,0.0,10.0187,0,0
605580.SH,20210826,19.45,19.45,19.45,19.45,484384.0,9421269.0,1.0,17.68,19.45,19.45,15.91,0.9688,0.0,10.0113,0,0
605580.SH,20210827,21.4,21.4,17.61,19.85,35231168.0,693002369.0,1.0,19.45,19.6702,21.4,17.51,70.4623,19.4859,2.0566,0,0
605580.SH,20210830,17.87,18.56,17.87,18.01,23093478.0,415598816.0,1.0,19.85,17.9964,21.84,17.87,46.187,3.4761,-9.2695,0,0
605580.SH,20210831,17.66,18.22,17.21,18.1,17167528.0,306777900.0,1.0,18.01,17.8697,19.81,16.21,34.3351,5.608,0.4997,0,0
605580.SH,20210901,17.85,17.85,16.29,16.3,16722197.0,281385517.0,1.0,18.1,16.8271,19.91,16.29,33.4444,8.6188,-9.9448,0,0
605580.SH,20210902,15.86,16.95,15.4,16.37,12785566.0,207788147.0,1.0,16.3,16.2518,17.93,14.67,25.5711,9.5092,0.4294,0,0
605580.SH,20210903,15.88,17.25,15.81,16.78,13507578.0,225666110.0,1.0,16.37,16.7066,18.01,14.73,27.0152,8.7966,2.5046,0,0
605580.SH,20210906,16.58,18.46,16.58,18.46,19879230.0,361697726.0,1.0,16.78,18.1948,18.46,15.1,39.7585,11.2038,10.0119,0,0
605580.SH,20210907,18.63,19.66,17.66,18.03,25749239.0,476398971.0,1.0,18.46,18.5015,20.31,16.61,51.4985,10.8342,-2.3294,0,0
605580.SH,20210908,17.65,19.5,17.65,18.97,22157715.0,415084086.0,1.0,18.03,18.7332,19.83,16.23,44.3154,10.2607,5.2135,0,0
605580.SH,20210909,18.32,18.68,17.2,17.74,16993324.0,304007627.0,1.0,18.97,17.8898,20.87,17.07,33.9866,7.8018,-6.4839,0,0
605580.SH,20210910,17.64,18.23,17.09,17.33,10342325.0,182148368.0,1.0,17.74,17.6119,19.51,15.97,20.6847,6.4262,-2.3112,0,0
605580.SH,20210913,17.2,17.32,16.51,16.56,9294517.0,155296695.0,1.0,17.33,16.7084,19.06,15.6,18.589,4.674,-4.4432,0,0
605580.SH,20210914,16.65,17.0,16.18,16.96,8654466.0,143334007.0,1.0,16.56,16.5619,18.22,14.9,17.3089,4.9517,2.4155,0,0
605580.SH,20210915,16.72,17.4,16.5,16.52,8224944.0,138144793.0,1.0,16.96,16.7958,18.66,15.26,16.4499,5.3066,-2.5943,0,0
605580.SH,20210916,16.3,16.5,15.83,15.86,7043672.0,113495650.0,1.0,16.52,16.1131,18.17,14.87,14.0873,4.0557,-3.9952,0,0
605580.SH,20210917,15.86,16.46,15.77,16.24,6282954.0,101873584.0,1.0,15.86,16.2143,17.45,14.27,12.5659,4.3506,2.396,0,0
605580.SH,20210922,15.86,17.16,15.8,17.06,10090823.0,169978088.0,1.0,16.24,16.8448,17.86,14.62,20.1816,8.3744,5.0493,0,0
605580.SH,20210923,17.61,17.79,16.24,16.41,8888220.0,148900102.0,1.0,17.06,16.7525,18.77,15.35,17.7764,9.0856,-3.8101,0,0
605580.SH,20210924,16.3,17.49,15.83,16.75,10158515.0,170101579.0,1.0,16.41,16.7447,18.05,14.77,20.317,10.1158,2.0719,0,0
605580.SH,20210927,17.24,18.43,16.3,18.43,21658242.0,382887813.0,1.0,16.75,17.6786,18.43,15.08,43.3165,12.7164,10.0299,0,0
605580.SH,20210928,17.56,18.8,17.46,18.17,19799872.0,357663324.0,1.0,18.43,18.0639,20.27,16.59,39.5997,7.2708,-1.4107,0,0
605580.SH,20210929,17.75,18.18,16.35,16.35,13954795.0,238152849.0,1.0,18.17,17.066,19.99,16.35,27.9096,10.0715,-10.0165,0,0
605580.SH,20210930,15.95,17.9,15.87,17.31,13716941.0,234501719.0,1.0,16.35,17.0958,17.99,14.72,27.4339,12.4159,5.8716,0,0
605580.SH,20211008,17.3,17.86,16.75,17.68,11822861.0,204700059.0,1.0,17.31,17.3139,19.04,15.58,23.6457,6.4125,2.1375,0,0
605580.SH,20211011,17.96,19.45,17.38,18.76,23080839.0,427959217.0,1.0,17.68,18.5418,19.45,15.91,46.1617,11.7081,6.1086,0,0
605580.SH,20211012,17.9,19.73,17.03,19.38,22540081.0,410731508.0,1.0,18.76,18.2223,20.64,16.88,45.0802,14.3923,3.3049,0,0
605580.SH,20211013,18.85,19.2,17.46,17.48,17570087.0,319473065.0,1.0,19.38,18.1828,21.32,17.44,35.1402,8.9783,-9.8039,0,0
605580.SH,20211014,16.69,17.9,16.51,17.55,11780282.0,203339813.0,1.0,17.48,17.261,19.23,15.73,23.5606,7.9519,0.4005,0,0
605580.SH,20211015,17.27,17.59,16.31,16.73,11105212.0,187381287.0,1.0,17.55,16.8733,19.31,15.8,22.2104,7.2934,-4.6724,0,0
605580.SH,20211018,16.71,18.4,16.69,18.4,10817290.0,196266317.0,1.0,16.73,18.1438,18.4,15.06,21.6346,10.2212,9.9821,0,0
605580.SH,20211019,19.45,20.1,18.4,18.72,24699946.0,470807476.0,1.0,18.4,19.0611,20.24,16.56,49.3999,9.2391,1.7391,0,0
605580.SH,20211020,18.88,19.44,18.48,19.0,17867489.0,340227394.0,1.0,18.72,19.0417,20.59,16.85,35.735,5.1282,1.4957,0,0
605580.SH,20211021,18.68,19.9,18.61,19.12,15989614.0,306345444.0,1.0,19.0,19.159,20.9,17.1,31.9792,6.7895,0.6316,0,0
605580.SH,20211022,18.71,18.98,17.7,18.0,11475461.0,208986628.0,1.0,19.12,18.2116,21.03,17.21,22.9509,6.6946,-5.8577,0,0
605580.SH,20211025,18.2,19.8,18.01,19.8,7105033.0,136997702.0,1.0,18.0,19.2818,19.8,16.2,14.2101,9.9444,10.0,0,0
605580.SH,20211026,20.59,20.7,19.1,19.29,18309839.0,360475429.0,1.0,19.8,19.6875,21.78,17.82,36.6197,8.0808,-2.5758,0,0
605580.SH,20211027,19.56,19.85,18.8,18.87,13023749.0,251617114.0,1.0,19.29,19.3199,21.22,17.36,26.0475,5.4432,-2.1773,0,0
605580.SH,20211028,18.97,19.98,18.31,19.15,13732843.0,264867852.0,1.0,18.87,19.2872,20.76,16.98,27.4657,8.85,1.4838,0,0
605580.SH,20211029,18.76,18.76,17.6,18.51,12001657.0,218403964.0,1.0,19.15,18.1978,21.07,17.24,24.0033,6.0574,-3.342,0,0
605580.SH,20211101,18.15,18.83,17.8,18.45,8759699.0,161248361.0,1.0,18.51,18.408,20.36,16.66,17.5194,5.5646,-0.3241,0,0
605580.SH,20211102,18.28,18.99,17.17,17.4,11945933.0,213835440.0,1.0,18.45,17.9003,20.3,16.61,23.8919,9.8645,-5.6911,0,0
605580.SH,20211103,17.42,19.14,17.22,19.14,12224835.0,226000364.0,1.0,17.4,18.487,19.14,15.66,24.4497,11.0345,10.0,0,0
605580.SH,20211104,19.61,19.77,18.45,19.02,20030935.0,382604301.0,1.0,19.14,19.1007,21.05,17.23,40.0619,6.8966,-0.627,0,0
605580.SH,20211105,19.14,19.36,18.33,18.8,13682414.0,256743009.0,1.0,19.02,18.7645,20.92,17.12,27.3648,5.4154,-1.1567,0,0
605580.SH,20211108,18.67,19.37,18.36,18.86,10566195.0,199979569.0,1.0,18.8,18.9264,20.68,16.92,21.1324,5.3723,0.3191,0,0
605580.SH,20211109,19.01,20.55,18.75,18.9,12424612.0,239031822.0,1.0,18.86,19.2386,20.75,16.97,24.8492,9.544,0.2121,0,0
605580.SH,20211110,18.65,19.35,18.45,19.07,8658162.0,163562247.0,1.0,18.9,18.8911,20.79,17.01,17.3163,4.7619,0.8995,0,0
605580.SH,20211111,19.3,19.5,18.63,18.68,8511946.0,160491012.0,1.0,19.07,18.8548,20.98,17.16,17.0239,4.5621,-2.0451,0,0
605580.SH,20211112,18.79,19.06,18.17,18.7,9207980.0,170606345.0,1.0,18.68,18.5281,20.55,16.81,18.416,4.7645,0.1071,0,0
605580.SH,20211115,18.52,20.3,18.46,19.46,15804417.0,307106378.0,1.0,18.7,19.4317,20.57,16.83,31.6088,9.8396,4.0642,0,0
605580.SH,20211116,19.3,20.3,18.96,19.2,15173976.0,295078749.0,1.0,19.46,19.4464,21.41,17.51,30.348,6.8859,-1.3361,0,0
605580.SH,20211117,19.0,19.47,18.66,19.36,8875976.0,170780533.0,1.0,19.2,19.2408,21.12,17.28,17.752,4.2187,0.8333,0,0
605580.SH,20211118,19.39,19.45,18.41,18.66,12737792.0,240148603.0,1.0,19.36,18.8532,21.3,17.42,25.4756,5.3719,-3.6157,0,0
605580.SH,20211119,18.66,18.68,18.2,18.52,7411536.0,136339662.0,1.0,18.66,18.3956,20.53,16.79,14.8231,2.5723,-0.7503,0,0
605580.SH,20211122,18.6,18.67,18.14,18.51,6277084.0,115930958.0,1.0,18.52,18.4689,20.37,16.67,12.5542,2.8618,-0.054,0,0
605580.SH,20211123,18.59,18.6,18.11,18.3,7282946.0,133045982.0,1.0,18.51,18.2682,20.36,16.66,14.5659,2.6472,-1.1345,0,0
605580.SH,20211124,18.34,18.8,18.11,18.62,8160607.0,150513087.0,1.0,18.3,18.4439,20.13,16.47,16.3212,3.7705,1.7486,0,0
605580.SH,20211125,18.65,18.95,18.16,18.18,7985304.0,147010897.0,1.0,18.62,18.4102,20.48,16.76,15.9706,4.2427,-2.3631,0,0
605580.SH,20211126,18.17,18.17,17.52,17.67,6268509.0,111221066.0,1.0,18.18,17.7428,20.0,16.36,12.537,3.5754,-2.8053,0,0
605580.SH,20211129,17.18,17.75,17.05,17.52,3890206.0,67964157.0,1.0,17.67,17.4706,19.44,15.9,7.7804,3.9615,-0.8489,0,0
605580.SH,20211130,17.58,17.87,17.28,17.41,3924166.0,68772495.0,1.0,17.52,17.5254,19.27,15.77,7.8483,3.3676,-0.6279,0,0
605580.SH,20211201,17.47,17.69,17.39,17.58,2979033.0,52178833.0,1.0,17.41,17.5154,19.15,15.67,5.9581,1.7231,0.9765,0,0
605580.SH,20211202,17.49,17.58,17.03,17.1,4468435.0,77071431.0,1.0,17.58,17.248,19.34,15.82,8.9369,3.1286,-2.7304,0,0
605580.SH,20211203,17.2,17.29,16.6,17.17,5037653.0,85584562.0,1.0,17.1,16.989,18.81,15.39,10.0753,4.0351,0.4094,0,0
605580.SH,20211206,17.28,17.85,17.03,17.45,4647896.0,80545803.0,1.0,17.17,17.3295,18.89,15.45,9.2958,4.7758,1.6308,0,0
605580.SH,20211207,17.3,17.56,17.06,17.25,3784322.0,65329424.0,1.0,17.45,17.2632,19.2,15.71,7.5686,2.8653,-1.1461,0,0
605580.SH,20211208,17.24,17.4,17.08,17.2,2956899.0,50955568.0,1.0,17.25,17.2328,18.98,15.53,5.9138,1.8551,-0.2899,0,0
605580.SH,20211209,17.18,17.35,17.12,17.2,3046143.0,52424959.0,1.0,17.2,17.2103,18.92,15.48,6.0923,1.3372,0.0,0,0
605580.SH,20211210,17.2,17.35,17.15,17.29,2909071.0,50180166.0,1.0,17.2,17.2496,18.92,15.48,5.8181,1.1628,0.5233,0,0
605580.SH,20211213,17.35,17.51,17.26,17.42,3659150.0,63646623.0,1.0,17.29,17.3938,19.02,15.56,7.3183,1.4459,0.7519,0,0
605580.SH,20211214,17.4,17.79,17.15,17.46,4176978.0,72702344.0,1.0,17.42,17.4055,19.16,15.68,8.354,3.6739,0.2296,0,0
605580.SH,20211215,17.51,17.93,17.38,17.88,7286093.0,129243725.0,1.0,17.46,17.7384,19.21,15.71,14.5722,3.1501,2.4055,0,0
605580.SH,20211216,17.83,17.85,17.55,17.64,4679441.0,82566025.0,1.0,17.88,17.6444,19.67,16.09,9.3589,1.6779,-1.3423,0,0
