ts_code,trade_date,open,high,low,close,volume,turnover,factor,prev_close,avg_price,high_limit,low_limit,turnover_rate,amp_rate,quote_rate,is_paused,is_st
600183.SH,20140102,4.93,4.96,4.9,4.95,4515667.0,22262918.0,4.997,4.94,4.9302,5.43,4.45,0.3224,1.2146,0.2024,0,0
600183.SH,20140103,4.94,4.94,4.84,4.89,4680096.0,22796852.0,4.997,4.95,4.871,5.45,4.46,0.3342,2.0202,-1.2121,0,0
600183.SH,20140106,4.89,4.9,4.75,4.76,3605908.0,17330092.0,4.997,4.89,4.806,5.38,4.4,0.2575,3.0675,-2.6585,0,0
600183.SH,20140107,4.74,4.87,4.7,4.86,3922709.0,18891236.0,4.997,4.76,4.8159,5.24,4.28,0.2801,3.5714,2.1008,0,0
600183.SH,20140108,4.86,4.87,4.76,4.79,4216946.0,20234559.0,4.997,4.86,4.7984,5.35,4.37,0.3011,2.2634,-1.4403,0,0
600183.SH,20140109,4.77,4.84,4.73,4.83,3499810.0,16731627.0,4.997,4.79,4.7807,5.27,4.31,0.2499,2.2965,0.8351,0,0
600183.SH,20140110,4.81,4.86,4.63,4.73,5908374.0,27923185.0,4.997,4.83,4.726,5.31,4.35,0.4219,4.7619,-2.0704,0,0
600183.SH,20140113,4.72,4.72,4.62,4.68,3070118.0,14339282.0,4.997,4.73,4.6706,5.2,4.26,0.2192,2.1142,-1.0571,0,0
600183.SH,20140114,4.68,4.68,4.56,4.67,6163884.0,28456378.0,4.997,4.68,4.6166,5.15,4.21,0.4401,2.5641,-0.2137,0,0
600183.SH,20140115,4.67,4.74,4.63,4.71,3784499.0,17744993.0,4.997,4.67,4.6889,5.14,4.2,0.2702,2.3555,0.8565,0,0
600183.SH,20140116,4.7,4.85,4.7,4.84,6795594.0,32631798.0,4.997,4.71,4.8019,5.18,4.24,0.4852,3.1847,2.7601,0,0
600183.SH,20140117,4.84,4.88,4.72,4.74,3920671.0,18859844.0,4.997,4.84,4.8104,5.32,4.36,0.2799,3.3058,-2.0661,0,0
600183.SH,20140120,4.72,4.79,4.7,4.77,2629967.0,12460131.0,4.997,4.74,4.7378,5.21,4.27,0.1878,1.8987,0.6329,0,0
600183.SH,20140121,4.78,4.87,4.78,4.85,2706079.0,13079888.0,4.997,4.77,4.8335,5.25,4.29,0.1932,1.8868,1.6771,0,0
600183.SH,20140122,4.86,4.95,4.83,4.93,4646184.0,22851362.0,4.997,4.85,4.9183,5.34,4.37,0.3318,2.4742,1.6495,0,0
600183.SH,20140123,4.93,4.95,4.87,4.91,3864224.0,18971779.0,4.997,4.93,4.9096,5.42,4.44,0.2759,1.6227,-0.4057,0,0
600183.SH,20140124,4.87,4.97,4.87,4.96,4513543.0,22304066.0,4.997,4.91,4.9416,5.4,4.42,0.3223,2.0367,1.0183,0,0
600183.SH,20140127,4.98,5.09,4.94,5.0,9221913.0,46336216.0,4.997,4.96,5.0246,5.46,4.46,0.6585,3.0242,0.8065,0,0
600183.SH,20140128,5.01,5.04,4.96,5.01,3238406.0,16196010.0,4.997,5.0,5.0012,5.5,4.5,0.2312,1.6,0.2,0,0
600183.SH,20140129,5.01,5.04,4.97,5.02,2893939.0,14466558.0,4.997,5.01,4.9989,5.51,4.51,0.2066,1.3972,0.1996,0,0
600183.SH,20140130,5.02,5.03,4.94,4.94,3127622.0,15575684.0,4.997,5.02,4.98,5.52,4.52,0.2233,1.7928,-1.5936,0,0
600183.SH,20140207,4.92,5.07,4.87,5.06,7592776.0,37792278.0,4.997,4.94,4.9774,5.43,4.45,0.5421,4.0486,2.4291,0,0
600183.SH,20140210,5.08,5.28,5.08,5.22,9708666.0,50315513.0,4.997,5.06,5.1825,5.57,4.55,0.6932,3.9526,3.1621,0,0
600183.SH,20140211,5.25,5.27,5.13,5.19,8174816.0,42488446.0,4.997,5.22,5.1975,5.74,4.7,0.5837,2.682,-0.5747,0,0
600183.SH,20140212,5.2,5.58,5.17,5.46,21299198.0,115255236.0,4.997,5.19,5.4112,5.71,4.67,1.5208,7.8998,5.2023,0,0
600183.SH,20140213,5.41,5.51,5.35,5.35,12803636.0,69527068.0,4.997,5.46,5.4303,6.01,4.91,0.9142,2.9304,-2.0147,0,0
600183.SH,20140214,5.34,5.42,5.33,5.41,6843439.0,36792553.0,4.997,5.35,5.3763,5.89,4.81,0.4886,1.6822,1.1215,0,0
600183.SH,20140217,5.43,5.5,5.38,5.49,11374803.0,61899459.0,4.997,5.41,5.4418,5.95,4.87,0.8122,2.2181,1.4787,0,0
600183.SH,20140218,5.48,5.49,5.33,5.35,12549553.0,67577963.0,4.997,5.49,5.3849,6.04,4.94,0.8961,2.9144,-2.5501,0,0
600183.SH,20140219,5.35,5.42,5.31,5.34,8458165.0,45293776.0,4.997,5.35,5.355,5.89,4.81,0.6039,2.0561,-0.1869,0,0
