ts_code,trade_date,open,high,low,close,volume,turnover,factor,prev_close,avg_price,high_limit,low_limit,turnover_rate,amp_rate,quote_rate,is_paused,is_st
603256.SH,20190719,5.32,6.38,5.32,6.38,94919.0,601555.0,1.0,4.43,6.3376,6.38,2.84,0.1081,23.9278,44.0181,0,0
603256.SH,20190722,7.02,7.02,7.02,7.02,82461.0,578876.0,1.0,6.38,7.02,7.02,5.74,0.0939,0.0,10.0313,0,0
603256.SH,20190723,7.72,7.72,7.72,7.72,85922.0,663318.0,1.0,7.02,7.72,7.72,6.32,0.0979,0.0,9.9715,0,0
603256.SH,20190724,8.49,8.49,8.49,8.49,107601.0,913532.0,1.0,7.72,8.49,8.49,6.95,0.1226,0.0,9.9741,0,0
603256.SH,20190725,9.34,9.34,9.34,9.34,194470.0,1816350.0,1.0,8.49,9.34,9.34,7.64,0.2215,0.0,10.0118,0,0
603256.SH,20190726,10.27,10.27,10.27,10.27,356461.0,3660854.0,1.0,9.34,10.27,10.27,8.41,0.406,0.0,9.9572,0,0
603256.SH,20190729,11.3,11.3,11.3,11.3,496782.0,5613637.0,1.0,10.27,11.3,11.3,9.24,0.5658,0.0,10.0292,0,0
603256.SH,20190730,12.43,12.43,12.43,12.43,343752.0,4272837.0,1.0,11.3,12.43,12.43,10.17,0.3915,0.0,10.0,0,0
603256.SH,20190731,13.67,13.67,13.67,13.67,305509.0,4176308.0,1.0,12.43,13.67,13.67,11.19,0.348,0.0,9.9759,0,0
603256.SH,20190801,15.04,15.04,15.04,15.04,1553431.0,23363602.0,1.0,13.67,15.04,15.04,12.3,1.7693,0.0,10.0219,0,0
603256.SH,20190802,16.54,16.54,16.54,16.54,3108904.0,51421272.0,1.0,15.04,16.54,16.54,13.54,3.5409,0.0,9.9734,0,0
603256.SH,20190805,18.19,18.19,18.19,18.19,1561163.0,28397555.0,1.0,16.54,18.19,18.19,14.89,1.7781,0.0,9.9758,0,0
603256.SH,20190806,20.01,20.01,20.01,20.01,2915497.0,58339095.0,1.0,18.19,20.01,20.01,16.37,3.3206,0.0,10.0055,0,0
603256.SH,20190807,22.01,22.01,20.02,20.28,68296591.0,1460611582.0,1.0,20.01,21.3863,22.01,18.01,77.7866,9.945,1.3493,0,0
603256.SH,20190808,19.2,19.28,18.25,18.25,50639868.0,935856975.0,1.0,20.28,18.4806,22.31,18.25,57.6764,5.0789,-10.0099,0,0
603256.SH,20190809,18.37,18.88,17.65,18.38,45483197.0,831750988.0,1.0,18.25,18.287,20.08,16.43,51.8032,6.7397,0.7123,0,0
603256.SH,20190812,18.34,18.62,17.18,18.57,35592266.0,640699424.0,1.0,18.38,18.0011,20.22,16.54,40.5379,7.8346,1.0337,0,0
603256.SH,20190813,18.26,20.43,18.11,19.4,58944666.0,1149314394.0,1.0,18.57,19.4982,20.43,16.71,67.1352,12.4933,4.4696,0,0
603256.SH,20190814,19.59,21.3,19.1,19.8,51549857.0,1028612707.0,1.0,19.4,19.9537,21.34,17.46,58.7128,11.3402,2.0619,0,0
603256.SH,20190815,19.01,21.78,19.01,21.78,43955486.0,890422434.0,1.0,19.8,20.2574,21.78,17.82,50.0632,13.9899,10.0,0,0
603256.SH,20190816,22.8,23.68,20.0,20.05,65868858.0,1440496202.0,1.0,21.78,21.8692,23.96,19.6,75.0215,16.8962,-7.9431,0,0
603256.SH,20190819,19.74,20.64,19.74,20.45,39790639.0,801818480.0,1.0,20.05,20.1509,22.06,18.05,45.3196,4.4888,1.995,0,0
603256.SH,20190820,20.18,20.33,19.01,19.11,37411898.0,730173513.0,1.0,20.45,19.5171,22.5,18.41,42.6104,6.4548,-6.5526,0,0
603256.SH,20190821,18.77,19.5,18.31,19.06,26151199.0,494083620.0,1.0,19.11,18.8933,21.02,17.2,29.785,6.2271,-0.2616,0,0
603256.SH,20190822,18.88,18.96,18.18,18.49,22893259.0,424903339.0,1.0,19.06,18.5602,20.97,17.15,26.0743,4.0923,-2.9906,0,0
603256.SH,20190823,18.69,19.25,18.4,18.77,23030856.0,434776854.0,1.0,18.49,18.878,20.34,16.64,26.231,4.5971,1.5143,0,0
603256.SH,20190826,17.9,18.58,17.62,18.45,18147653.0,329901793.0,1.0,18.77,18.1788,20.65,16.89,20.6693,5.1145,-1.7048,0,0
603256.SH,20190827,18.95,19.2,18.45,18.73,19363523.0,364308601.0,1.0,18.45,18.8142,20.3,16.61,22.0541,4.065,1.5176,0,0
603256.SH,20190828,18.43,20.21,18.42,20.17,35872665.0,695999037.0,1.0,18.73,19.4019,20.6,16.86,40.8572,9.5569,7.6882,0,0
603256.SH,20190829,19.61,19.89,19.26,19.48,25222935.0,493564752.0,1.0,20.17,19.5681,22.19,18.15,28.7277,3.1235,-3.4209,0,0
603256.SH,20190830,19.68,20.1,18.88,19.5,27271525.0,534746463.0,1.0,19.48,19.6082,21.43,17.53,31.061,6.2628,0.1027,0,0
603256.SH,20190902,19.26,20.2,18.55,20.11,29256111.0,570767635.0,1.0,19.5,19.5093,21.45,17.55,33.3213,8.4615,3.1282,0,0
603256.SH,20190903,20.11,22.12,19.98,22.12,32456168.0,685222713.0,1.0,20.11,21.1122,22.12,18.1,36.966,10.6415,9.995,0,0
603256.SH,20190904,23.38,24.27,20.66,21.09,54408885.0,1220194692.0,1.0,22.12,22.4264,24.33,19.91,61.9691,16.3201,-4.6564,0,0
603256.SH,20190905,21.03,23.07,20.8,22.35,43052622.0,936584538.0,1.0,21.09,21.7544,23.2,18.98,49.0349,10.7634,5.9744,0,0
603256.SH,20190906,22.09,24.59,21.9,23.21,48854675.0,1143078869.0,1.0,22.35,23.3975,24.59,20.12,55.6431,12.0358,3.8479,0,0
603256.SH,20190909,23.74,25.12,22.97,24.14,37749312.0,903124587.0,1.0,23.21,23.9243,25.53,20.89,42.9947,9.2632,4.0069,0,0
603256.SH,20190910,23.17,24.2,22.91,23.84,28669581.0,674569405.0,1.0,24.14,23.5291,26.55,21.73,32.6533,5.3438,-1.2428,0,0
603256.SH,20190911,23.84,24.08,21.89,22.64,28651228.0,653062718.0,1.0,23.84,22.7935,26.22,21.46,32.6324,9.1862,-5.0336,0,0
603256.SH,20190912,22.56,23.68,22.4,22.6,26172489.0,605099564.0,1.0,22.64,23.1197,24.9,20.38,29.8092,5.6537,-0.1767,0,0
603256.SH,20190916,22.44,24.47,22.36,23.9,30548158.0,716350185.0,1.0,22.6,23.4499,24.86,20.34,34.7929,9.3363,5.7522,0,0
603256.SH,20190917,23.74,23.91,22.8,23.3,21848018.0,508035195.0,1.0,23.9,23.2531,26.29,21.51,24.8838,4.6444,-2.5105,0,0
603256.SH,20190918,23.4,24.53,23.05,23.05,32956576.0,785253600.0,1.0,23.3,23.8269,25.63,20.97,37.536,6.3519,-1.073,0,0
603256.SH,20190919,22.15,24.6,21.82,24.6,34758645.0,814050634.0,1.0,23.05,23.4201,25.36,20.75,39.5884,12.0607,6.7245,0,0
603256.SH,20190920,24.3,25.2,23.38,23.66,29427447.0,716188481.0,1.0,24.6,24.3374,27.06,22.14,33.5165,7.3984,-3.8211,0,0
603256.SH,20190923,23.13,24.5,22.83,23.8,21974070.0,521672529.0,1.0,23.66,23.7404,26.03,21.29,25.0274,7.0583,0.5917,0,0
603256.SH,20190924,23.99,24.2,23.1,23.99,19989254.0,472190768.0,1.0,23.8,23.6222,26.18,21.42,22.7668,4.6218,0.7983,0,0
603256.SH,20190925,23.9,23.9,21.59,21.59,26719388.0,606590412.0,1.0,23.99,22.7023,26.39,21.59,30.4321,9.629,-10.0042,0,0
603256.SH,20190926,20.62,21.28,19.43,19.43,26061256.0,521719799.0,1.0,21.59,20.019,23.75,19.43,29.6825,8.5688,-10.0046,0,0
603256.SH,20190927,19.1,19.49,18.59,18.82,17054861.0,325183146.0,1.0,19.43,19.0669,21.37,17.49,19.4247,4.632,-3.1395,0,0
603256.SH,20190930,18.98,19.37,18.11,18.2,13784884.0,257167162.0,1.0,18.82,18.6557,20.7,16.94,15.7003,6.695,-3.2944,0,0
603256.SH,20191008,18.42,18.72,17.82,18.1,11733181.0,213531492.0,1.0,18.2,18.1989,20.02,16.38,13.3635,4.9451,-0.5495,0,0
603256.SH,20191009,17.77,18.25,17.68,18.24,10273332.0,185009758.0,1.0,18.1,18.0087,19.91,16.29,11.7008,3.1492,0.7735,0,0
603256.SH,20191010,18.22,18.5,18.04,18.45,12225236.0,223648433.0,1.0,18.24,18.294,20.06,16.42,13.924,2.5219,1.1513,0,0
603256.SH,20191011,18.52,18.6,17.9,18.09,12019368.0,218824385.0,1.0,18.45,18.206,20.3,16.61,13.6895,3.794,-1.9512,0,0
603256.SH,20191014,18.15,18.74,18.15,18.45,13039383.0,240785327.0,1.0,18.09,18.466,19.9,16.28,14.8512,3.2615,1.99,0,0
603256.SH,20191015,18.3,18.3,17.82,17.85,10424884.0,187954176.0,1.0,18.45,18.0294,20.3,16.61,11.8734,2.6016,-3.252,0,0
603256.SH,20191016,17.98,18.24,16.9,17.1,13549661.0,237759605.0,1.0,17.85,17.5473,19.64,16.07,15.4324,7.507,-4.2017,0,0
603256.SH,20191017,17.1,17.33,16.56,16.93,11716405.0,198578058.0,1.0,17.1,16.9487,18.81,15.39,13.3444,4.5029,-0.9942,0,0
603256.SH,20191018,16.94,17.85,16.7,17.55,17935739.0,311011844.0,1.0,16.93,17.3403,18.62,15.24,20.4279,6.7927,3.6621,0,0
603256.SH,20191021,17.18,17.3,15.8,16.07,15319722.0,250135210.0,1.0,17.55,16.3277,19.31,15.8,17.4484,8.547,-8.433,0,0
603256.SH,20191022,15.95,16.49,15.95,16.47,9956264.0,161689668.0,1.0,16.07,16.24,17.68,14.46,11.3397,3.3603,2.4891,0,0
603256.SH,20191023,16.41,18.12,16.23,18.12,20626538.0,365295552.0,1.0,16.47,17.71,18.12,14.82,23.4926,11.4754,10.0182,0,0
603256.SH,20191024,18.4,18.43,17.21,17.5,22724005.0,402756149.0,1.0,18.12,17.7238,19.93,16.31,25.8816,6.7329,-3.4216,0,0
603256.SH,20191025,17.12,17.3,16.5,16.86,13487328.0,226812622.0,1.0057,17.4,16.8167,19.14,15.66,15.3614,4.5977,-3.1034,0,0
603256.SH,20191028,16.6,17.47,16.58,17.1,11440772.0,194625098.0,1.0057,16.86,17.0115,18.55,15.17,13.0305,5.2788,1.4235,0,0
603256.SH,20191029,17.0,17.0,15.83,16.09,13808469.0,226175038.0,1.0057,17.1,16.3794,18.81,15.39,15.7272,6.8421,-5.9064,0,0
603256.SH,20191030,15.8,15.8,15.1,15.16,10493505.0,161218558.0,1.0057,16.09,15.3637,17.7,14.48,11.9516,4.3505,-5.78,0,0
603256.SH,20191031,15.33,15.55,14.63,14.75,9735891.0,147027458.0,1.0057,15.16,15.1016,16.68,13.64,11.0887,6.0686,-2.7045,0,0
603256.SH,20191101,14.67,15.04,14.43,14.93,7126925.0,105649125.0,1.0057,14.75,14.8239,16.23,13.28,8.1172,4.1356,1.2203,0,0
603256.SH,20191104,15.03,15.56,14.96,15.09,8539261.0,129713940.0,1.0057,14.93,15.1903,16.42,13.44,9.7258,4.0188,1.0717,0,0
603256.SH,20191105,14.99,15.2,14.88,14.94,5760497.0,86749654.0,1.0057,15.09,15.0594,16.6,13.58,6.5609,2.1206,-0.994,0,0
603256.SH,20191106,14.99,15.3,14.86,15.29,8410309.0,126843762.0,1.0057,14.94,15.0819,16.43,13.45,9.5789,2.9451,2.3427,0,0
603256.SH,20191107,15.16,15.32,14.92,15.04,6397969.0,96512339.0,1.0057,15.29,15.0848,16.82,13.76,7.287,2.6161,-1.6351,0,0
603256.SH,20191108,15.08,15.99,15.08,15.39,12500400.0,193157157.0,1.0057,15.04,15.4521,16.54,13.54,14.2374,6.0505,2.3271,0,0
603256.SH,20191111,15.24,15.25,14.55,14.7,8794582.0,129961515.0,1.0057,15.39,14.7775,16.93,13.85,10.0166,4.5484,-4.4834,0,0
603256.SH,20191112,14.58,16.17,14.58,16.17,19627980.0,305549305.0,1.0057,14.7,15.567,16.17,13.23,22.3553,10.8163,10.0,0,0
603256.SH,20191113,16.0,16.48,15.7,15.95,22482087.0,363416779.0,1.0057,16.17,16.1647,17.79,14.55,25.606,4.8237,-1.3605,0,0
603256.SH,20191114,16.17,16.77,16.03,16.54,21009855.0,344794929.0,1.0057,15.95,16.4111,17.55,14.36,23.9292,4.6395,3.6991,0,0
603256.SH,20191115,16.3,16.52,15.8,15.83,13341014.0,214649306.0,1.0057,16.54,16.0894,18.19,14.89,15.1948,4.3531,-4.2926,0,0
603256.SH,20191118,15.86,16.62,15.85,16.62,14554322.0,236846709.0,1.0057,15.83,16.2733,17.41,14.25,16.5767,4.8642,4.9905,0,0
603256.SH,20191119,16.41,16.96,16.37,16.92,18037497.0,300311065.0,1.0057,16.62,16.6493,18.28,14.96,20.5438,3.5499,1.8051,0,0
603256.SH,20191120,17.28,17.44,16.41,16.63,16869552.0,283851025.0,1.0057,16.92,16.8262,18.61,15.23,19.2136,6.0875,-1.7139,0,0
603256.SH,20191121,16.52,16.6,16.01,16.1,10157975.0,164655117.0,1.0057,16.63,16.2094,18.29,14.97,11.5694,3.5478,-3.187,0,0
603256.SH,20191122,16.22,16.23,15.07,15.2,12344824.0,192034993.0,1.0057,16.1,15.5559,17.71,14.49,14.0602,7.205,-5.5901,0,0
603256.SH,20191125,15.1,15.17,14.47,14.52,8942001.0,130962127.0,1.0057,15.2,14.6457,16.72,13.68,10.1845,4.6053,-4.4737,0,0
603256.SH,20191126,14.5,14.74,14.29,14.53,5524106.0,80372559.0,1.0057,14.52,14.5494,15.97,13.07,6.2917,3.0992,0.0689,0,0
603256.SH,20191127,14.5,14.74,14.3,14.63,5396300.0,78475381.0,1.0057,14.53,14.5424,15.98,13.08,6.1461,3.0282,0.6882,0,0
603256.SH,20191128,14.6,14.65,14.02,14.08,7542497.0,107810484.0,1.0057,14.63,14.2937,16.09,13.17,8.5905,4.3062,-3.7594,0,0
603256.SH,20191129,14.14,14.67,13.74,14.52,10210508.0,145062921.0,1.0057,14.08,14.2072,15.49,12.67,11.6293,6.6051,3.125,0,0
603256.SH,20191202,14.37,14.68,14.28,14.57,6638901.0,96277353.0,1.0057,14.52,14.502,15.97,13.07,7.5614,2.7548,0.3444,0,0
603256.SH,20191203,14.32,14.72,14.01,14.61,6860013.0,98600871.0,1.0057,14.57,14.3733,16.03,13.11,7.8132,4.873,0.2745,0,0
603256.SH,20191204,14.5,14.98,14.37,14.68,6875833.0,101027126.0,1.0057,14.61,14.6931,16.07,13.15,7.8312,4.1752,0.4791,0,0
603256.SH,20191205,14.68,15.55,14.65,15.1,11956704.0,180901374.0,1.0057,14.68,15.1297,16.15,13.21,13.6181,6.1308,2.861,0,0
603256.SH,20191206,14.98,15.16,14.77,14.97,8075124.0,120653526.0,1.0057,15.1,14.9414,16.61,13.59,9.1972,2.5828,-0.8609,0,0
603256.SH,20191209,15.02,15.18,14.83,15.04,6072088.0,91006137.0,1.0057,14.97,14.9876,16.47,13.47,6.9158,2.338,0.4676,0,0
603256.SH,20191210,15.05,15.23,14.78,15.09,7042798.0,105584664.0,1.0057,15.04,14.9919,16.54,13.54,8.0214,2.992,0.3324,0,0
603256.SH,20191211,15.1,15.55,14.96,15.37,11161628.0,170769362.0,1.0057,15.09,15.2997,16.6,13.58,12.7126,3.9099,1.8555,0,0
603256.SH,20191212,15.25,15.28,14.85,14.85,8703555.0,131044463.0,1.0057,15.37,15.0564,16.91,13.83,9.9129,2.7977,-3.3832,0,0
603256.SH,20191213,14.94,15.2,14.94,14.98,7214861.0,108583519.0,1.0057,14.85,15.05,16.34,13.37,8.2174,1.7508,0.8754,0,0
603256.SH,20191216,15.2,15.5,15.03,15.32,8219346.0,125307206.0,1.0057,14.98,15.2454,16.48,13.48,9.3614,3.1375,2.2697,0,0
603256.SH,20191217,15.36,16.2,15.36,15.72,14658271.0,232687370.0,1.0057,15.32,15.8741,16.85,13.79,16.6951,5.483,2.611,0,0
603256.SH,20191218,15.65,16.0,15.55,15.83,10416252.0,164451653.0,1.0057,15.72,15.788,17.29,14.15,11.8636,2.8626,0.6997,0,0
603256.SH,20191219,15.73,15.94,15.54,15.69,6886752.0,108032916.0,1.0057,15.83,15.6871,17.41,14.25,7.8437,2.5268,-0.8844,0,0
603256.SH,20191220,15.81,16.19,15.49,15.73,9031900.0,142661471.0,1.0057,15.69,15.7953,17.26,14.12,10.2869,4.4614,0.2549,0,0
603256.SH,20191223,15.59,15.71,15.04,15.04,7148361.0,109161673.0,1.0057,15.73,15.2709,17.3,14.16,8.1416,4.2594,-4.3865,0,0
603256.SH,20191224,15.18,15.37,15.07,15.25,3797761.0,57765240.0,1.0057,15.04,15.2103,16.54,13.54,4.3255,1.9947,1.3963,0,0
603256.SH,20191225,15.35,15.44,15.18,15.25,4633000.0,70815289.0,1.0057,15.25,15.285,16.78,13.73,5.2768,1.7049,0.0,0,0
603256.SH,20191226,15.3,15.55,15.2,15.47,7009486.0,107814764.0,1.0057,15.25,15.3813,16.78,13.73,7.9835,2.2951,1.4426,0,0
