ts_code,trade_date,open,high,low,close,volume,turnover,factor,prev_close,avg_price,high_limit,low_limit,turnover_rate,amp_rate,quote_rate,is_paused,is_st
002065.SZ,20140102,33.65,34.0,33.2,33.8,3097737.0,104416387.81,7.3168,33.8,33.7073,37.18,30.42,0.5209,2.3669,0.0,0,0
002065.SZ,20140103,33.51,35.0,33.35,34.59,3766284.0,129898426.02,7.3168,33.8,34.4898,37.18,30.42,0.6333,4.8817,2.3373,0,0
002065.SZ,20140106,34.5,34.79,32.77,33.21,3713256.0,124685219.07,7.3168,34.59,33.5784,38.05,31.13,0.6244,5.8398,-3.9896,0,0
002065.SZ,20140107,32.8,33.4,32.62,33.22,1877975.0,61887662.46,7.3168,33.21,32.9545,36.53,29.89,0.3158,2.3487,0.0301,0,0
002065.SZ,20140108,33.47,34.65,33.23,34.3,2410909.0,82421456.62,7.3168,33.22,34.1869,36.54,29.9,0.4054,4.2745,3.2511,0,0
002065.SZ,20140109,34.07,35.47,32.71,32.82,3904625.0,135019065.54,7.3168,34.3,34.5793,37.73,30.87,0.6566,8.0466,-4.3149,0,0
002065.SZ,20140110,32.51,33.39,31.67,32.23,2708741.0,87445130.97,7.3168,32.82,32.2826,36.1,29.54,0.4555,5.2407,-1.7977,0,0
002065.SZ,20140113,31.98,32.4,30.46,31.51,4745558.0,148581761.55,7.3168,32.23,31.3097,35.45,29.01,0.798,6.0192,-2.2339,0,0
002065.SZ,20140114,31.26,31.97,30.8,31.9,2383463.0,74812902.19,7.3168,31.51,31.3883,34.66,28.36,0.4008,3.7131,1.2377,0,0
002065.SZ,20140115,31.89,32.48,31.61,32.29,2586883.0,83191509.59,7.3168,31.9,32.159,35.09,28.71,0.435,2.7273,1.2226,0,0
002065.SZ,20140116,32.48,32.48,31.14,32.0,3388809.0,107199777.42,7.3168,32.29,31.6335,35.52,29.06,0.5698,4.1499,-0.8981,0,0
002065.SZ,20140117,31.62,32.3,31.62,31.95,2194032.0,70173493.23,7.3168,32.0,31.9838,35.2,28.8,0.3689,2.125,-0.1563,0,0
002065.SZ,20140120,31.65,32.18,31.07,31.27,1160559.0,36398631.22,7.3168,31.95,31.363,35.15,28.76,0.1951,3.4742,-2.1283,0,0
002065.SZ,20140121,31.11,31.57,30.01,30.48,3133852.0,96604300.21,7.3168,31.27,30.8261,34.4,28.14,0.527,4.9888,-2.5264,0,0
002065.SZ,20140122,30.47,31.3,29.35,31.16,6015040.0,181310903.68,7.3168,30.48,30.1429,33.53,27.43,1.0114,6.3976,2.231,0,0
002065.SZ,20140123,32.32,34.28,32.3,34.28,6231281.0,212707276.83,7.3168,31.16,34.1354,34.28,28.04,1.0478,6.3543,10.0128,0,0
002065.SZ,20140124,35.98,37.41,35.28,36.8,9320888.0,341373655.8,7.3168,34.28,36.6246,37.71,30.85,1.5673,6.2135,7.3512,0,0
002065.SZ,20140127,36.68,40.48,35.67,40.0,10319228.0,402342818.49,7.3168,36.8,38.9896,40.48,33.12,1.7352,13.0707,8.6957,0,0
002065.SZ,20140128,39.55,40.0,37.89,39.38,7508867.0,291605783.4,7.3168,40.0,38.8349,44.0,36.0,1.2626,5.275,-1.55,0,0
002065.SZ,20140129,38.85,39.49,38.55,39.14,5758461.0,224376553.82,7.3168,39.38,38.9647,43.32,35.44,0.9683,2.387,-0.6094,0,0
002065.SZ,20140130,38.9,40.38,38.28,39.19,5511550.0,217563892.83,7.3168,39.14,39.4742,43.05,35.23,0.9268,5.3654,0.1277,0,0
002065.SZ,20140207,38.5,40.39,37.03,39.8,3658675.0,141520894.4,7.3168,39.19,38.6809,43.11,35.27,0.6152,8.5736,1.5565,0,0
002065.SZ,20140210,39.0,39.69,38.47,38.69,7295717.0,283941175.29,7.3168,39.8,38.9189,43.78,35.82,1.2268,3.0653,-2.7889,0,0
002065.SZ,20140211,38.65,38.65,36.2,36.3,7853380.0,290338214.46,7.3168,38.69,36.9698,42.56,34.82,1.3206,6.3324,-6.1773,0,0
002065.SZ,20140212,35.9,39.93,35.81,39.93,11322911.0,435635752.73,7.3168,36.3,38.4738,39.93,32.67,1.8919,11.3499,10.0,0,0
002065.SZ,20140213,39.93,39.93,39.93,39.93,0.0,0.0,7.3168,39.93,39.93,43.92,35.94,0.0,0.0,0.0,1,0
002065.SZ,20140214,39.93,39.93,39.93,39.93,0.0,0.0,7.3168,39.93,39.93,43.92,35.94,0.0,0.0,0.0,1,0
002065.SZ,20140217,39.93,39.93,39.93,39.93,0.0,0.0,7.3168,39.93,39.93,43.92,35.94,0.0,0.0,0.0,1,0
002065.SZ,20140218,39.93,39.93,39.93,39.93,0.0,0.0,7.3168,39.93,39.93,43.92,35.94,0.0,0.0,0.0,1,0
002065.SZ,20140219,39.93,39.93,39.93,39.93,0.0,0.0,7.3168,39.93,39.93,43.92,35.94,0.0,0.0,0.0,1,0
002065.SZ,20140220,39.93,39.93,39.93,39.93,0.0,0.0,7.3168,39.93,39.93,43.92,35.94,0.0,0.0,0.0,1,0
002065.SZ,20140221,39.9,43.92,39.52,42.63,15085659.0,640843288.89,7.3168,39.93,42.4803,43.92,35.94,2.5206,11.0193,6.7618,0,0
002065.SZ,20140224,42.48,45.09,40.9,44.73,13008626.0,565957775.87,7.3168,42.63,43.5063,46.89,38.37,2.1735,9.8288,4.9261,0,0
002065.SZ,20140225,44.2,48.2,43.6,45.72,10805409.0,495888858.69,7.3168,44.73,45.8927,49.2,40.26,1.737,10.2839,2.2133,0,0
002065.SZ,20140226,45.6,45.68,43.3,44.7,4719639.0,209759135.18,7.3168,45.72,44.4439,50.29,41.15,0.7291,5.2056,-2.231,0,0
002065.SZ,20140227,47.01,47.59,41.38,42.79,10358705.0,457257582.99,7.3168,44.7,44.1424,49.17,40.23,1.6003,13.8926,-4.2729,0,0
002065.SZ,20140228,43.67,45.8,42.79,45.7,12104365.0,536037354.0,7.3168,42.79,44.2846,47.07,38.51,1.87,7.0344,6.8007,0,0
002065.SZ,20140303,47.0,47.8,43.71,45.7,11105793.0,508436335.18,7.3168,45.7,45.7812,50.27,41.13,1.7157,8.9497,0.0,0,0
002065.SZ,20140304,44.7,44.97,42.3,43.9,7813003.0,339042792.17,7.3168,45.7,43.3947,50.27,41.13,1.207,5.8425,-3.9387,0,0
002065.SZ,20140305,43.3,44.29,42.58,43.03,5536231.0,240336283.06,7.3168,43.9,43.4115,48.29,39.51,0.8553,3.8952,-1.9818,0,0
002065.SZ,20140306,43.07,43.83,40.9,43.26,4908687.0,208330687.5,7.3168,43.03,42.4412,47.33,38.73,0.7583,6.8092,0.5345,0,0
002065.SZ,20140307,43.29,43.6,41.81,41.95,2681092.0,113975891.97,7.3168,43.26,42.511,47.59,38.93,0.4142,4.1378,-3.0282,0,0
002065.SZ,20140310,41.8,41.8,37.76,37.8,9016240.0,351869043.38,7.3168,41.95,39.0261,46.15,37.76,1.3929,9.6305,-9.8927,0,0
002065.SZ,20140311,37.8,39.4,37.57,37.99,6870672.0,263663423.77,7.3168,37.8,38.3752,41.58,34.02,1.0614,4.8413,0.5026,0,0
002065.SZ,20140312,37.88,39.94,37.6,38.33,7632173.0,295998149.82,7.3168,37.99,38.7829,41.79,34.19,1.1791,6.1595,0.895,0,0
002065.SZ,20140313,38.3,40.5,38.04,40.19,6604176.0,262896774.63,7.3168,38.33,39.8077,42.16,34.5,1.0203,6.4179,4.8526,0,0
002065.SZ,20140314,39.81,40.39,39.55,39.89,2333172.0,93096313.8,7.3168,40.19,39.9012,44.21,36.17,0.3604,2.0901,-0.7465,0,0
002065.SZ,20140317,40.28,41.13,39.89,40.6,5162041.0,210061388.8,7.3168,39.89,40.6935,43.88,35.9,0.7975,3.1085,1.7799,0,0
002065.SZ,20140318,40.6,44.66,40.6,43.37,8358555.0,360989445.07,7.3168,40.6,43.188,44.66,36.54,1.2913,10.0,6.8227,0,0
002065.SZ,20140319,43.32,43.37,41.25,41.49,5380573.0,224701624.23,7.3168,43.37,41.7617,47.71,39.03,0.8312,4.8882,-4.3348,0,0
002065.SZ,20140320,41.66,43.2,39.7,40.3,5831437.0,242240710.56,7.3168,41.49,41.5405,45.64,37.34,0.9009,8.4358,-2.8682,0,0
002065.SZ,20140321,39.41,42.3,37.7,41.88,5426383.0,215901239.7,7.3168,40.3,39.7873,44.33,36.27,0.8383,11.4144,3.9206,0,0
002065.SZ,20140324,41.62,41.88,39.75,41.0,4583428.0,185208600.88,7.3168,41.88,40.4083,46.07,37.69,0.7081,5.086,-2.1012,0,0
002065.SZ,20140325,40.01,41.85,39.67,40.5,2976945.0,120975661.68,7.3168,41.0,40.6375,45.1,36.9,0.4599,5.3171,-1.2195,0,0
002065.SZ,20140326,40.7,42.98,40.11,42.9,2944715.0,122899926.81,7.3168,40.5,41.7358,44.55,36.45,0.4549,7.0864,5.9259,0,0
002065.SZ,20140327,42.75,42.75,41.6,41.64,2308710.0,97053197.43,7.3168,42.9,42.0378,47.19,38.61,0.3567,2.6807,-2.9371,0,0
002065.SZ,20140328,41.58,41.94,38.88,39.7,3458932.0,137604441.19,7.3168,41.64,39.7823,45.8,37.48,0.5344,7.3487,-4.659,0,0
