ts_code,trade_date,open,high,low,close,volume,turnover,factor,prev_close,avg_price,high_limit,low_limit,turnover_rate,amp_rate,quote_rate,is_paused,is_st
301018.SZ,20210707,25.0,32.5,24.99,28.32,37086559.0,1037335135.77,1.0,8.29,27.9706,0.0,0.0,72.4148,90.5911,241.616,0,0
301018.SZ,20210708,25.55,25.66,22.18,22.22,29345972.0,693870652.26,1.0,28.32,23.6445,0.0,0.0,57.3006,12.2881,-21.5395,0,0
301018.SZ,20210709,21.26,23.58,21.11,21.88,18986509.0,427376564.2,1.0,22.22,22.5095,0.0,0.0,37.0728,11.1161,-1.5302,0,0
301018.SZ,20210712,21.88,23.37,21.78,22.2,14048970.0,313760675.94,1.0,21.88,22.3334,0.0,0.0,27.4319,7.2669,1.4625,0,0
301018.SZ,20210713,22.19,24.24,21.11,23.23,23515509.0,532820481.92,1.0,22.2,22.6583,0.0,0.0,45.9161,14.0991,4.6396,0,0
301018.SZ,20210714,22.93,27.88,22.81,27.88,33816477.0,900319648.43,1.0,23.23,26.6237,27.88,18.58,66.0297,21.8252,20.0172,0,0
301018.SZ,20210715,25.74,26.12,24.2,24.64,24625892.0,616919530.51,1.0,27.88,25.0517,33.46,22.3,48.0842,6.8867,-11.6212,0,0
301018.SZ,20210716,25.0,25.48,23.56,24.65,17302612.0,423830176.95,1.0,24.64,24.4952,29.57,19.71,33.7849,7.7922,0.0406,0,0
301018.SZ,20210719,24.07,25.05,23.68,23.9,11964955.0,290052904.27,1.0,24.65,24.2419,29.58,19.72,23.3626,5.5578,-3.0426,0,0
301018.SZ,20210720,24.3,24.99,22.94,23.0,13299637.0,318175736.98,1.0,23.9,23.9236,28.68,19.12,25.9687,8.5774,-3.7657,0,0
301018.SZ,20210721,22.28,23.49,22.22,22.8,11345506.0,258188735.58,1.0,23.0,22.7569,27.6,18.4,22.1531,5.5217,-0.8696,0,0
301018.SZ,20210722,22.55,22.73,21.74,21.8,10285609.0,227225429.26,1.0,22.8,22.0916,27.36,18.24,20.0836,4.3421,-4.386,0,0
301018.SZ,20210723,21.8,22.53,21.52,22.49,9220142.0,203719889.93,1.0,21.8,22.0951,26.16,17.44,18.0031,4.633,3.1651,0,0
301018.SZ,20210726,22.5,22.5,21.12,21.36,8307886.0,179180497.9,1.0,22.49,21.5675,26.99,17.99,16.2219,6.1361,-5.0245,0,0
301018.SZ,20210727,21.25,21.57,19.65,19.78,9149010.0,187166165.83,1.0,21.36,20.4575,25.63,17.09,17.8642,8.9888,-7.397,0,0
301018.SZ,20210728,20.0,20.05,18.62,18.69,6730014.0,128460541.2,1.0,19.78,19.0877,23.74,15.82,13.1409,7.2295,-5.5106,0,0
301018.SZ,20210729,18.95,19.38,18.8,18.99,5493572.0,104931105.18,1.0,18.69,19.1007,22.43,14.95,10.7267,3.1033,1.6051,0,0
301018.SZ,20210730,18.99,20.27,18.95,19.5,7153408.0,140449437.63,1.0,18.99,19.6339,22.79,15.19,13.9677,6.951,2.6856,0,0
301018.SZ,20210802,20.15,20.64,19.77,20.37,8009992.0,162201566.48,1.0,19.5,20.2499,23.4,15.6,15.6402,4.4615,4.4615,0,0
301018.SZ,20210803,20.49,23.36,20.05,22.18,17171307.0,374531501.55,1.0,20.37,21.8115,24.44,16.3,33.5285,16.2494,8.8856,0,0
301018.SZ,20210804,21.55,24.18,21.21,23.55,17120951.0,389473192.2,1.0,22.18,22.7483,26.62,17.74,33.4302,13.3904,6.1767,0,0
301018.SZ,20210805,23.8,27.75,23.5,25.88,21965552.0,554739238.32,1.0,23.55,25.255,28.26,18.84,42.8897,18.0467,9.8938,0,0
