ts_code,trade_date,open,high,low,close,volume,turnover,factor,prev_close,avg_price,high_limit,low_limit,turnover_rate,amp_rate,quote_rate,is_paused,is_st
603296.SH,20230808,80.8,80.8,72.0,73.29,17368654.0,1296702469.0,1.0,80.8,74.6576,116.35,51.71,29.2116,10.8911,-9.2946,0,0
603296.SH,20230809,71.89,79.93,70.01,76.39,15641364.0,1149856273.0,1.0,73.29,73.5138,80.62,65.96,26.3066,13.5353,4.2298,0,0
603296.SH,20230810,73.87,78.63,72.68,74.84,12608120.0,961308845.0,1.0,76.39,76.2452,84.03,68.75,21.2051,7.789,-2.0291,0,0
603296.SH,20230811,73.35,75.3,72.8,73.5,8591345.0,633880602.0,1.0,74.84,73.7813,82.32,67.36,14.4494,3.3405,-1.7905,0,0
603296.SH,20230814,72.76,72.8,70.22,70.35,7667331.0,546271951.0,1.0,73.5,71.2467,80.85,66.15,12.8954,3.5102,-4.2857,0,0
603296.SH,20230815,71.3,72.47,70.91,71.48,6569504.0,470655360.0,1.0,70.35,71.6424,77.39,63.32,11.049,2.2175,1.6063,0,0
603296.SH,20230816,70.93,72.37,70.1,71.69,5096058.0,365193085.0,1.0,71.48,71.6619,78.63,64.33,8.5709,3.1757,0.2938,0,0
603296.SH,20230817,71.0,74.18,70.8,73.35,5296211.0,386135613.0,1.0,71.69,72.9079,78.86,64.52,8.9075,4.7147,2.3155,0,0
603296.SH,20230818,73.3,73.8,72.08,72.12,3643158.0,265833075.0,1.0,73.35,72.9678,80.69,66.02,6.1273,2.3449,-1.6769,0,0
603296.SH,20230821,71.88,73.19,70.91,72.1,3029562.0,218628322.0,1.0,72.12,72.165,79.33,64.91,5.0953,3.1614,-0.0277,0,0
603296.SH,20230822,72.6,73.41,71.12,73.19,3750765.0,271356431.0,1.0,72.1,72.347,79.31,64.89,6.3083,3.1761,1.5118,0,0
603296.SH,20230823,72.76,72.76,71.0,71.08,2663755.0,191370843.0,1.0,73.19,71.8425,80.51,65.87,4.4801,2.4047,-2.8829,0,0
603296.SH,20230824,71.2,71.96,70.68,71.11,1995628.0,142485446.0,1.0,71.08,71.3988,78.19,63.97,3.3564,1.8008,0.0422,0,0
603296.SH,20230825,70.6,71.24,68.44,68.45,3214005.0,223882624.0,1.0,71.11,69.6585,78.22,64.0,5.4055,3.9376,-3.7407,0,0
603296.SH,20230828,72.05,72.05,68.81,68.97,2623896.0,184342363.0,1.0,68.45,70.2552,75.3,61.61,4.413,4.7334,0.7597,0,0
603296.SH,20230829,68.03,71.5,67.55,70.91,3043502.0,213869216.0,1.0,68.97,70.2708,75.87,62.07,5.1187,5.7271,2.8128,0,0
603296.SH,20230830,70.75,73.19,70.75,71.94,3267267.0,236207062.0,1.0,70.91,72.295,78.0,63.82,5.4951,3.441,1.4525,0,0
603296.SH,20230831,72.15,72.15,70.68,70.7,2068235.0,147021659.0,1.0,71.94,71.0856,79.13,64.75,3.4785,2.0434,-1.7237,0,0
603296.SH,20230901,70.83,71.55,70.21,70.24,1814848.0,128336151.0,1.0,70.7,70.7145,77.77,63.63,3.0523,1.8953,-0.6506,0,0
603296.SH,20230904,70.73,72.03,70.03,71.95,2095395.0,148721082.0,1.0,70.24,70.9752,77.26,63.22,3.5242,2.8474,2.4345,0,0
603296.SH,20230905,71.46,73.08,71.01,71.27,2273383.0,163544812.0,1.0,71.95,71.939,79.15,64.76,3.8235,2.877,-0.9451,0,0
603296.SH,20230906,70.83,71.87,70.28,71.5,2053830.0,146097696.0,1.0,71.27,71.1343,78.4,64.14,3.4543,2.231,0.3227,0,0
603296.SH,20230907,71.04,71.24,69.52,69.62,2015087.0,141482119.0,1.0,71.5,70.2114,78.65,64.35,3.3891,2.4056,-2.6294,0,0
603296.SH,20230908,69.7,70.49,69.06,69.35,1317351.0,91755962.0,1.0,69.62,69.6519,76.58,62.66,2.2156,2.054,-0.3878,0,0
603296.SH,20230911,69.62,70.2,69.0,69.74,1221778.0,84979424.0,1.0,69.35,69.5539,76.29,62.42,2.0549,1.7304,0.5624,0,0
603296.SH,20230912,69.57,69.65,69.1,69.15,1204751.0,83411205.0,1.0,69.74,69.2352,76.71,62.77,2.0262,0.7886,-0.846,0,0
603296.SH,20230913,69.05,69.37,68.07,68.42,1341537.0,92025555.0,1.0,69.15,68.5971,76.07,62.24,2.2563,1.88,-1.0557,0,0
603296.SH,20230914,68.5,68.9,68.01,68.58,1085510.0,74224781.0,1.0,68.42,68.3778,75.26,61.58,1.8257,1.3008,0.2338,0,0
603296.SH,20230915,69.33,69.33,68.49,68.78,1023054.0,70354340.0,1.0,68.58,68.7689,75.44,61.72,1.7206,1.2248,0.2916,0,0
603296.SH,20230918,68.41,69.05,68.2,68.73,735080.0,50527563.0,1.0,68.78,68.7375,75.66,61.9,1.2363,1.2358,-0.0727,0,0
603296.SH,20230919,68.79,69.04,68.6,68.93,817807.0,56331772.0,1.0,68.73,68.8815,75.6,61.86,1.3754,0.6402,0.291,0,0
603296.SH,20230920,68.93,69.8,68.8,69.12,1265030.0,87724648.0,1.0,68.93,69.3459,75.82,62.04,2.1276,1.4507,0.2756,0,0
603296.SH,20230921,69.0,69.17,67.91,67.91,1182792.0,80785797.0,1.0,69.12,68.3009,76.03,62.21,1.9893,1.8229,-1.7506,0,0
603296.SH,20230922,67.78,70.88,67.6,70.5,2928212.0,204762105.0,1.0,67.91,69.9273,74.7,61.12,4.9248,4.8299,3.8139,0,0
603296.SH,20230925,70.15,70.41,69.01,69.05,1417226.0,98476436.0,1.0,70.5,69.4853,77.55,63.45,2.3836,1.9858,-2.0567,0,0
603296.SH,20230926,69.66,71.35,68.45,70.45,2681718.0,188020883.0,1.0,69.05,70.1121,75.96,62.14,4.5103,4.1999,2.0275,0,0
603296.SH,20230927,70.05,70.6,69.81,69.88,1175451.0,82386099.0,1.0,70.45,70.0889,77.5,63.41,1.9769,1.1214,-0.8091,0,0
603296.SH,20230928,69.95,70.87,69.95,70.81,1740168.0,122899743.0,1.0,69.88,70.6252,76.87,62.89,2.9267,1.3165,1.3309,0,0
603296.SH,20231009,70.61,71.24,69.7,71.02,1728477.0,121959476.0,1.0,70.81,70.5589,77.89,63.73,2.9071,2.1748,0.2966,0,0
603296.SH,20231010,71.0,71.35,69.97,70.15,1103511.0,77901361.0,1.0,71.02,70.5941,78.12,63.92,1.856,1.9431,-1.225,0,0
603296.SH,20231011,70.1,77.17,69.79,74.6,8832720.0,667110453.0,1.0,70.15,75.5272,77.17,63.14,14.8554,10.5203,6.3435,0,0
603296.SH,20231012,76.09,78.58,75.4,75.81,9364996.0,720981739.0,1.0,74.6,76.9869,82.06,67.14,15.7506,4.2627,1.622,0,0
603296.SH,20231013,75.81,78.9,75.22,76.87,7018776.0,543948186.0,1.0,75.81,77.499,83.39,68.23,11.8046,4.8542,1.3982,0,0
