ts_code,trade_date,open,high,low,close,volume,turnover,factor,prev_close,avg_price,high_limit,low_limit,turnover_rate,amp_rate,quote_rate,is_paused,is_st
300474.SZ,20160331,16.37,19.64,16.37,19.64,14142.0,274971.88,1.0,13.64,19.4436,19.64,8.73,0.0422,23.9736,43.9883,0,0
300474.SZ,20160401,21.6,21.6,21.6,21.6,5505.0,118908.0,1.0,19.64,21.6,21.6,17.68,0.0164,0.0,9.9796,0,0
300474.SZ,20160405,23.76,23.76,23.76,23.76,2507.0,59566.32,1.0,21.6,23.76,23.76,19.44,0.0075,0.0,10.0,0,0
300474.SZ,20160406,26.14,26.14,26.14,26.14,9247.0,241716.58,1.0,23.76,26.14,26.14,21.38,0.0276,0.0,10.0168,0,0
300474.SZ,20160407,28.75,28.75,28.75,28.75,7885.0,226693.75,1.0,26.14,28.75,28.75,23.53,0.0235,0.0,9.9847,0,0
300474.SZ,20160408,31.63,31.63,31.63,31.63,14256.0,450917.28,1.0,28.75,31.63,31.63,25.88,0.0426,0.0,10.0174,0,0
300474.SZ,20160411,34.79,34.79,34.79,34.79,10300.0,358337.0,1.0,31.63,34.79,34.79,28.47,0.0307,0.0,9.9905,0,0
300474.SZ,20160412,38.27,38.27,38.27,38.27,14700.0,562569.0,1.0,34.79,38.27,38.27,31.31,0.0439,0.0,10.0029,0,0
300474.SZ,20160413,42.1,42.1,42.1,42.1,61452.0,2587129.2,1.0,38.27,42.1,42.1,34.44,0.1834,0.0,10.0078,0,0
300474.SZ,20160414,46.31,46.31,46.31,46.31,63136.0,2923828.16,1.0,42.1,46.31,46.31,37.89,0.1885,0.0,10.0,0,0
300474.SZ,20160415,50.94,50.94,50.94,50.94,102375.0,5214982.5,1.0,46.31,50.94,50.94,41.68,0.3056,0.0,9.9978,0,0
300474.SZ,20160418,56.03,56.03,56.03,56.03,102554.0,5746100.62,1.0,50.94,56.03,56.03,45.85,0.3061,0.0,9.9921,0,0
300474.SZ,20160419,61.63,61.63,61.63,61.63,63509.0,3914059.67,1.0,56.03,61.63,61.63,50.43,0.1896,0.0,9.9946,0,0
300474.SZ,20160420,67.79,67.79,67.79,67.79,196690.0,13333615.1,1.0,61.63,67.79,67.79,55.47,0.5871,0.0,9.9951,0,0
300474.SZ,20160421,74.57,74.57,74.57,74.57,163097.0,12162143.29,1.0,67.79,74.57,74.57,61.01,0.4869,0.0,10.0015,0,0
300474.SZ,20160422,82.03,82.03,82.03,82.03,179122.0,14693377.66,1.0,74.57,82.03,82.03,67.11,0.5347,0.0,10.004,0,0
300474.SZ,20160425,90.23,90.23,90.23,90.23,182137.0,16434221.51,1.0,82.03,90.23,90.23,73.83,0.5437,0.0,9.9963,0,0
300474.SZ,20160426,99.25,99.25,99.25,99.25,160400.0,15919700.0,1.0,90.23,99.25,99.25,81.21,0.4788,0.0,9.9967,0,0
300474.SZ,20160427,109.18,109.18,109.18,109.18,95361.0,10411513.98,1.0,99.25,109.18,109.18,89.33,0.2847,0.0,10.005,0,0
300474.SZ,20160428,120.1,120.1,120.1,120.1,692487.0,83167688.7,1.0,109.18,120.1,120.1,98.26,2.0671,0.0,10.0018,0,0
300474.SZ,20160429,132.11,132.11,123.71,123.75,22784641.0,2942638663.07,1.0,120.1,129.15,132.11,108.09,68.0139,6.9942,3.0391,0,0
300474.SZ,20160503,118.0,118.44,111.88,114.6,12133623.0,1393733800.12,1.0,123.75,114.865,136.13,111.38,36.2198,5.301,-7.3939,0,0
