ts_code,trade_date,open,high,low,close,volume,turnover,factor,prev_close,avg_price,high_limit,low_limit,turnover_rate,amp_rate,quote_rate,is_paused,is_st
688041.SH,20220812,70.0,73.8,60.1,60.1,119133625.0,7864877720.0,1.0,36.0,66.0173,0.0,0.0,59.6845,38.0556,66.9444,0,0
688041.SH,20220815,57.0,61.19,56.7,56.82,59475630.0,3509521338.0,1.0,60.1,59.0077,0.0,0.0,29.7965,7.4709,-5.4576,0,0
688041.SH,20220816,56.0,61.66,55.01,60.69,45226222.0,2650930792.0,1.0,56.82,58.6149,0.0,0.0,22.6578,11.7036,6.811,0,0
688041.SH,20220817,60.35,61.86,56.8,57.64,30965039.0,1814533092.0,1.0,60.69,58.5994,0.0,0.0,15.5131,8.3375,-5.0255,0,0
688041.SH,20220818,57.02,58.79,55.5,57.65,20379982.0,1172481799.0,1.0,57.64,57.5311,0.0,0.0,10.2101,5.7078,0.0173,0,0
688041.SH,20220819,58.01,59.1,54.02,54.26,19856238.0,1121274065.0,1.0,57.65,56.4696,69.18,46.12,9.9477,8.8118,-5.8803,0,0
688041.SH,20220822,54.0,56.96,53.95,56.35,17120114.0,961875912.0,1.0,54.26,56.184,65.11,43.41,8.577,5.5474,3.8518,0,0
688041.SH,20220823,55.93,60.83,55.8,59.87,21665593.0,1282497748.0,1.0,56.35,59.1951,67.62,45.08,10.8542,8.9264,6.2467,0,0
688041.SH,20220824,59.3,60.96,57.23,58.75,12285793.0,719144880.0,1.0,59.87,58.5347,71.84,47.9,6.155,6.2302,-1.8707,0,0
688041.SH,20220825,59.01,59.3,54.35,55.3,13214891.0,738634614.0,1.0,58.75,55.8941,70.5,47.0,6.6205,8.4255,-5.8723,0,0
688041.SH,20220826,54.81,55.94,50.0,50.2,21365287.0,1117262543.0,1.0,55.3,52.2934,66.36,44.24,10.7037,10.7414,-9.2224,0,0
688041.SH,20220829,49.04,51.27,48.69,49.09,11626638.0,577106090.0,1.0,50.2,49.6365,60.24,40.16,5.8248,5.1394,-2.2112,0,0
688041.SH,20220830,49.02,52.77,48.92,51.74,16427156.0,845275467.0,1.0,49.09,51.456,58.91,39.27,8.2298,7.8427,5.3982,0,0
688041.SH,20220831,52.0,53.76,50.0,50.18,12120606.0,626793711.0,1.0,51.74,51.7131,62.09,41.39,6.0723,7.2671,-3.0151,0,0
688041.SH,20220901,57.1,59.8,53.85,54.47,44421194.0,2548811140.0,1.0,50.18,57.3783,60.22,40.14,22.2545,11.8573,8.5492,0,0
688041.SH,20220902,54.91,59.8,54.91,56.1,26976389.0,1543447779.0,1.0,54.47,57.2148,65.36,43.58,13.5148,8.9774,2.9925,0,0
688041.SH,20220905,55.1,55.62,51.27,52.17,20327715.0,1082191562.0,1.0,56.1,53.2372,67.32,44.88,10.1839,7.754,-7.0053,0,0
688041.SH,20220906,52.95,53.58,51.34,53.3,12381516.0,649731420.0,1.0,52.17,52.4759,62.6,41.74,6.203,4.2937,2.166,0,0
688041.SH,20220907,53.6,57.29,53.3,54.87,14913190.0,826665169.0,1.0,53.3,55.4318,63.96,42.64,7.4713,7.4859,2.9456,0,0
688041.SH,20220908,54.86,57.2,54.51,56.62,12792981.0,721847522.0,1.0,54.87,56.4253,65.84,43.9,6.4091,4.9025,3.1894,0,0
688041.SH,20220909,57.01,57.48,54.92,55.8,6704055.0,375469782.0,1.0,56.62,56.0064,67.94,45.3,3.3586,4.5214,-1.4483,0,0
688041.SH,20220913,56.19,58.22,55.58,55.81,7799766.0,441953878.0,1.0,55.8,56.6625,66.96,44.64,3.9076,4.7312,0.0179,0,0
688041.SH,20220914,55.0,59.49,54.33,59.21,14025063.0,807139020.0,1.0,55.81,57.5498,66.97,44.65,7.0264,9.2457,6.0921,0,0
688041.SH,20220915,58.51,61.4,55.8,56.2,16768023.0,978247438.0,1.0,59.21,58.3401,71.05,47.37,8.4006,9.4579,-5.0836,0,0
688041.SH,20220916,55.89,65.2,55.67,62.6,27395163.0,1703335364.0,1.0,56.2,62.1765,67.44,44.96,13.7246,16.9573,11.3879,0,0
688041.SH,20220919,62.6,68.03,62.08,62.87,21933351.0,1416638945.0,1.0,62.6,64.5883,75.12,50.08,10.9883,9.5048,0.4313,0,0
688041.SH,20220920,63.5,64.88,61.01,62.71,11899013.0,747926762.0,1.0,62.87,62.8562,75.44,50.3,5.9613,6.1556,-0.2545,0,0
688041.SH,20220921,62.5,63.0,60.06,60.81,10193140.0,626149854.0,1.0,62.71,61.4286,75.25,50.17,5.1066,4.6882,-3.0298,0,0
688041.SH,20220922,60.58,65.59,60.4,63.34,11563234.0,732528779.0,1.0,60.81,63.3498,72.97,48.65,5.793,8.5348,4.1605,0,0
688041.SH,20220923,62.79,64.34,60.8,61.12,10718889.0,665991854.0,1.0,63.34,62.1325,76.01,50.67,5.37,5.5889,-3.5049,0,0
688041.SH,20220926,60.31,62.36,59.33,60.3,9431701.0,571944927.0,1.0,61.12,60.6407,73.34,48.9,4.7252,4.9575,-1.3416,0,0
688041.SH,20220927,60.3,61.75,58.11,61.75,10398608.0,623078362.0,1.0,60.3,59.9194,72.36,48.24,5.2096,6.0365,2.4046,0,0
688041.SH,20220928,60.8,61.05,57.37,58.19,10687492.0,629618802.0,1.0,61.75,58.9117,74.1,49.4,5.3543,5.9595,-5.7652,0,0
688041.SH,20220929,58.92,61.58,58.0,60.9,10062079.0,606463548.0,1.0,58.19,60.2722,69.83,46.55,5.041,6.1523,4.6572,0,0
688041.SH,20220930,60.78,61.98,58.81,58.82,7163333.0,430264403.0,1.0,60.9,60.0648,73.08,48.72,3.5887,5.2053,-3.4154,0,0
688041.SH,20221010,55.9,55.9,47.06,47.06,17192303.0,820001057.0,1.0,58.82,47.6958,70.58,47.06,8.6131,15.0289,-19.9932,0,0
688041.SH,20221011,45.97,46.45,37.73,38.0,42514760.0,1682176638.0,1.0,47.06,39.5669,56.47,37.65,21.2994,18.5295,-19.252,0,0
688041.SH,20221012,37.19,39.03,36.22,38.55,34500124.0,1298749951.0,1.0,38.0,37.6448,45.6,30.4,17.2841,7.3947,1.4474,0,0
688041.SH,20221013,37.8,40.64,37.45,38.8,27786701.0,1084160627.0,1.0,38.55,39.0172,46.26,30.84,13.9208,8.275,0.6485,0,0
688041.SH,20221014,39.2,39.46,37.49,38.92,26473453.0,1023812555.0,1.0,38.8,38.6732,46.56,31.04,13.2629,5.0773,0.3093,0,0
